id_garantia,id_poliza,tipo_garantia,suma_garantizada,activa
GAR-0000251,POL-000068,Robo parcial,3227560.98,True
GAR-0000252,POL-000069,Responsabilidad civil,4443701.42,True
GAR-0000253,POL-000069,Robo total,6002314.08,True
GAR-0000254,POL-000069,Robo parcial,7820909.55,True
GAR-0000255,POL-000070,Daño propio,7952764.16,True
GAR-0000256,POL-000070,Incendio,5922166.06,True
GAR-0000257,POL-000071,Robo parcial,4083210.3,True
GAR-0000258,POL-000071,Granizo,6772604.81,True
GAR-0000259,POL-000072,Responsabilidad civil,4634774.93,True
GAR-0000260,POL-000072,Incendio,5684529.77,True
GAR-0000261,POL-000072,Robo total,4549690.24,True
GAR-0000262,POL-000073,Incendio,2139615.46,True
GAR-0000263,POL-000073,Asistencia en ruta,4079568.35,True
GAR-0000264,POL-000074,Incendio,6761549.04,True
GAR-0000265,POL-000074,Responsabilidad civil,3982348.01,True
GAR-0000266,POL-000074,Daño propio,7882209.94,True
GAR-0000267,POL-000074,Asistencia en ruta,4834756.38,True
GAR-0000268,POL-000075,Incendio,1382424.2,True
GAR-0000269,POL-000075,Responsabilidad civil,5774682.84,True
GAR-0000270,POL-000075,Robo total,4610219.89,True
GAR-0000271,POL-000075,Daño propio,2822983.91,True
GAR-0000272,POL-000075,Robo parcial,876197.71,True
GAR-0000273,POL-000076,Granizo,2018129.77,True
GAR-0000274,POL-000076,Incendio,6613566.61,True
GAR-0000275,POL-000076,Robo parcial,5496963.17,True
GAR-0000276,POL-000076,Daño propio,4755357.05,True
GAR-0000277,POL-000077,Asistencia en ruta,4717167.83,True
GAR-0000278,POL-000077,Granizo,3237599.02,True
GAR-0000279,POL-000077,Robo parcial,1219959.28,True
GAR-0000280,POL-000077,Responsabilidad civil,4560890.41,True
GAR-0000281,POL-000078,Robo total,1446415.09,True
GAR-0000282,POL-000078,Responsabilidad civil,2383790.37,True
GAR-0000283,POL-000078,Incendio,4673253.04,True
GAR-0000284,POL-000079,Robo total,6327095.11,True
GAR-0000285,POL-000079,Incendio,5933741.95,True
GAR-0000286,POL-000079,Asistencia en ruta,3715607.5,True
GAR-0000287,POL-000079,Responsabilidad civil,8269148.34,True
GAR-0000288,POL-000080,Asistencia en ruta,17558966.99,True
GAR-0000289,POL-000080,Incendio,17291450.59,True
GAR-0000290,POL-000080,Robo parcial,6064249.94,True
GAR-0000291,POL-000080,Granizo,8073623.67,True
GAR-0000292,POL-000080,Robo total,5261016.38,True
GAR-0000293,POL-000081,Asistencia en ruta,3672303.38,True
GAR-0000294,POL-000081,Daño propio,6559114.48,True
GAR-0000295,POL-000081,Robo parcial,1801547.27,True
GAR-0000296,POL-000082,Granizo,5568116.84,True
GAR-0000297,POL-000082,Daño propio,5091389.22,True
GAR-0000298,POL-000082,Robo total,6287341.51,True
GAR-0000299,POL-000083,Responsabilidad civil,5085305.05,True
GAR-0000300,POL-000083,Granizo,8135588.35,True
GAR-0000301,POL-000083,Robo total,8268812.17,True
GAR-0000302,POL-000084,Responsabilidad civil,4054881.42,True
GAR-0000303,POL-000084,Robo parcial,2672136.49,True
GAR-0000304,POL-000085,Daño propio,3012699.0,True
GAR-0000305,POL-000085,Robo parcial,5156963.71,True
GAR-0000306,POL-000085,Robo total,6760080.05,True
GAR-0000307,POL-000086,Robo parcial,5411331.37,True
GAR-0000308,POL-000086,Incendio,983729.48,True
GAR-0000309,POL-000086,Asistencia en ruta,4160410.05,True
GAR-0000310,POL-000087,Daño propio,8336571.72,True
GAR-0000311,POL-000087,Robo parcial,2626375.97,True
GAR-0000312,POL-000087,Responsabilidad civil,6303323.51,True
GAR-0000313,POL-000088,Asistencia en ruta,4570568.75,True
GAR-0000314,POL-000088,Robo parcial,1197052.84,True
GAR-0000315,POL-000088,Daño propio,6056318.78,True
GAR-0000316,POL-000088,Robo total,5224018.41,True
GAR-0000317,POL-000089,Robo total,6071198.24,True
GAR-0000318,POL-000089,Asistencia en ruta,2197822.53,True
GAR-0000319,POL-000089,Robo parcial,5089086.19,True
GAR-0000320,POL-000090,Robo total,6353479.47,True
GAR-0000321,POL-000090,Robo parcial,3932944.68,True
GAR-0000322,POL-000090,Responsabilidad civil,2870293.98,True
GAR-0000323,POL-000091,Granizo,10841925.37,True
GAR-0000324,POL-000091,Asistencia en ruta,4599417.17,True
GAR-0000325,POL-000091,Responsabilidad civil,7705761.64,True
GAR-0000326,POL-000091,Robo total,5857769.49,True
GAR-0000327,POL-000091,Incendio,2201860.01,True
GAR-0000328,POL-000092,Responsabilidad civil,6922155.39,True
GAR-0000329,POL-000092,Incendio,5922840.9,True
GAR-0000330,POL-000092,Robo total,5998940.93,True
GAR-0000331,POL-000092,Asistencia en ruta,1653894.23,True
GAR-0000332,POL-000092,Robo parcial,3201100.54,True
GAR-0000333,POL-000093,Daño propio,4425170.09,True
GAR-0000334,POL-000093,Robo parcial,4223261.05,True
GAR-0000335,POL-000094,Granizo,1986172.89,True
GAR-0000336,POL-000094,Robo parcial,4262247.6,True
GAR-0000337,POL-000094,Robo total,2579971.43,True
GAR-0000338,POL-000094,Asistencia en ruta,4403827.7,True
GAR-0000339,POL-000094,Responsabilidad civil,1067131.63,True
GAR-0000340,POL-000095,Robo total,1597167.92,True
GAR-0000341,POL-000095,Asistencia en ruta,6095579.29,True
GAR-0000342,POL-000095,Responsabilidad civil,2156716.22,True
GAR-0000343,POL-000096,Granizo,5059867.65,True
GAR-0000344,POL-000096,Robo parcial,3789502.42,True
GAR-0000345,POL-000096,Robo total,5043299.32,True
GAR-0000346,POL-000096,Responsabilidad civil,5771241.55,True
GAR-0000347,POL-000096,Daño propio,7005274.61,True
GAR-0000348,POL-000097,Responsabilidad civil,1344202.75,True
GAR-0000349,POL-000097,Robo total,5729746.05,True
GAR-0000350,POL-000097,Asistencia en ruta,6074447.18,True
GAR-0000351,POL-000097,Daño propio,9284324.47,True
GAR-0000352,POL-000098,Asistencia en ruta,3000816.77,True
GAR-0000353,POL-000098,Robo parcial,3869047.64,True
GAR-0000354,POL-000098,Daño propio,924471.74,True
GAR-0000355,POL-000099,Incendio,6156272.92,True
GAR-0000356,POL-000099,Daño propio,5660556.12,True
GAR-0000357,POL-000100,Asistencia en ruta,6601203.33,True
GAR-0000358,POL-000100,Robo total,7146622.83,True
GAR-0000359,POL-000100,Robo parcial,5782780.44,True
GAR-0000360,POL-000101,Robo parcial,7303859.1,True
GAR-0000361,POL-000101,Asistencia en ruta,4912308.6,True
GAR-0000362,POL-000101,Incendio,9971577.74,True
GAR-0000363,POL-000101,Robo total,7570092.64,True
GAR-0000364,POL-000101,Daño propio,5391860.41,True
GAR-0000365,POL-000102,Asistencia en ruta,3549556.48,True
GAR-0000366,POL-000102,Incendio,3648268.91,True
GAR-0000367,POL-000102,Robo parcial,4234390.78,True
GAR-0000368,POL-000102,Robo total,1548746.0,True
GAR-0000369,POL-000103,Robo parcial,2754964.53,True
GAR-0000370,POL-000103,Robo total,5587036.18,True
GAR-0000371,POL-000103,Daño propio,5936973.89,True
GAR-0000372,POL-000103,Incendio,5657491.21,True
GAR-0000373,POL-000103,Granizo,3913833.63,True
GAR-0000374,POL-000104,Daño propio,10156746.89,True
GAR-0000375,POL-000104,Robo total,8624650.91,True
GAR-0000376,POL-000104,Incendio,10015117.61,True
GAR-0000377,POL-000104,Asistencia en ruta,7560706.77,True
GAR-0000378,POL-000104,Robo parcial,1562964.9,True
GAR-0000379,POL-000105,Granizo,4949776.42,True
GAR-0000380,POL-000105,Robo parcial,8512376.08,True
GAR-0000381,POL-000105,Asistencia en ruta,9966371.4,True
GAR-0000382,POL-000105,Robo total,6565489.87,True
GAR-0000383,POL-000105,Responsabilidad civil,11058271.93,True
GAR-0000384,POL-000106,Asistencia en ruta,5298510.4,True
GAR-0000385,POL-000106,Incendio,1750877.64,True
GAR-0000386,POL-000107,Robo parcial,5832633.48,True
GAR-0000387,POL-000107,Incendio,2600014.41,True
GAR-0000388,POL-000107,Daño propio,2167633.34,True
GAR-0000389,POL-000107,Robo total,2461898.44,True
GAR-0000390,POL-000108,Robo total,2824024.66,True
GAR-0000391,POL-000108,Responsabilidad civil,8555490.96,True
GAR-0000392,POL-000109,Incendio,5445573.68,True
GAR-0000393,POL-000109,Daño propio,3037726.91,True
GAR-0000394,POL-000109,Robo parcial,1333074.68,True
GAR-0000395,POL-000109,Asistencia en ruta,5926345.89,True
GAR-0000396,POL-000110,Granizo,4179184.99,True
GAR-0000397,POL-000110,Asistencia en ruta,3637022.45,True
GAR-0000398,POL-000110,Daño propio,1778016.43,True
GAR-0000399,POL-000111,Robo parcial,1929290.57,True
GAR-0000400,POL-000111,Daño propio,6609982.31,True
GAR-0000401,POL-000111,Granizo,5543585.74,True
GAR-0000402,POL-000112,Asistencia en ruta,7078656.3,True
GAR-0000403,POL-000112,Responsabilidad civil,6892837.75,True
GAR-0000404,POL-000112,Granizo,4811551.53,True
GAR-0000405,POL-000112,Daño propio,6136143.93,True
GAR-0000406,POL-000112,Robo parcial,8492146.96,True
GAR-0000407,POL-000113,Granizo,6946955.39,True
GAR-0000408,POL-000113,Incendio,1839629.1,True
GAR-0000409,POL-000113,Asistencia en ruta,5536065.22,True
GAR-0000410,POL-000113,Daño propio,8098330.79,True
GAR-0000411,POL-000113,Robo parcial,1801158.51,True
GAR-0000412,POL-000114,Responsabilidad civil,1926795.51,True
GAR-0000413,POL-000114,Robo total,1462777.1,True
GAR-0000414,POL-000115,Asistencia en ruta,2385973.86,True
GAR-0000415,POL-000115,Daño propio,1533899.42,True
GAR-0000416,POL-000115,Robo parcial,6116151.19,True
GAR-0000417,POL-000115,Robo total,1887007.03,True
GAR-0000418,POL-000115,Granizo,3521406.36,True
GAR-0000419,POL-000116,Responsabilidad civil,8171174.56,True
GAR-0000420,POL-000116,Robo parcial,6180349.04,True
GAR-0000421,POL-000116,Daño propio,5410887.29,True
GAR-0000422,POL-000116,Asistencia en ruta,4612526.71,True
GAR-0000423,POL-000117,Incendio,5307146.0,True
GAR-0000424,POL-000117,Robo parcial,2747888.43,True
GAR-0000425,POL-000118,Incendio,4036892.54,True
GAR-0000426,POL-000118,Asistencia en ruta,6128079.05,True
GAR-0000427,POL-000118,Granizo,7633502.78,True
GAR-0000428,POL-000118,Daño propio,5106869.4,True
GAR-0000429,POL-000119,Daño propio,4724062.49,True
GAR-0000430,POL-000119,Robo parcial,5874580.75,True
GAR-0000431,POL-000120,Daño propio,5088271.79,True
GAR-0000432,POL-000120,Granizo,4798807.97,True
GAR-0000433,POL-000120,Robo total,5471535.19,True
GAR-0000434,POL-000120,Robo parcial,5561904.17,True
GAR-0000435,POL-000121,Incendio,7188785.22,True
GAR-0000436,POL-000121,Responsabilidad civil,5282816.57,True
GAR-0000437,POL-000121,Asistencia en ruta,3223995.42,True
GAR-0000438,POL-000121,Robo parcial,2651528.01,True
GAR-0000439,POL-000121,Robo total,3400846.41,True
GAR-0000440,POL-000122,Daño propio,7437708.72,True
GAR-0000441,POL-000122,Robo total,4812894.94,True
GAR-0000442,POL-000122,Responsabilidad civil,5263933.99,True
GAR-0000443,POL-000122,Asistencia en ruta,6826098.41,True
GAR-0000444,POL-000122,Incendio,7586930.59,True
GAR-0000445,POL-000123,Robo parcial,1573700.95,True
GAR-0000446,POL-000123,Asistencia en ruta,2146988.34,True
GAR-0000447,POL-000124,Incendio,18125574.62,True
GAR-0000448,POL-000124,Robo total,17680456.03,True
GAR-0000449,POL-000124,Responsabilidad civil,11572093.42,True
GAR-0000450,POL-000124,Granizo,10740718.85,True
GAR-0000451,POL-000125,Daño propio,5932193.82,True
GAR-0000452,POL-000125,Robo total,5539694.11,True
GAR-0000453,POL-000125,Granizo,2679416.7,True
GAR-0000454,POL-000125,Robo parcial,4011628.77,True
GAR-0000455,POL-000126,Asistencia en ruta,1701494.29,True
GAR-0000456,POL-000126,Responsabilidad civil,6361607.61,True
GAR-0000457,POL-000126,Incendio,7460811.93,True
GAR-0000458,POL-000127,Responsabilidad civil,2061861.82,True
GAR-0000459,POL-000127,Granizo,6212501.16,True
GAR-0000460,POL-000127,Asistencia en ruta,4525551.25,True
GAR-0000461,POL-000127,Incendio,1517860.99,True
GAR-0000462,POL-000127,Robo parcial,7167498.55,True
GAR-0000463,POL-000128,Daño propio,4509257.91,True
GAR-0000464,POL-000128,Responsabilidad civil,3850674.06,True
GAR-0000465,POL-000129,Robo parcial,4355183.5,True
GAR-0000466,POL-000129,Granizo,4269986.23,True
GAR-0000467,POL-000129,Daño propio,3721497.84,True
GAR-0000468,POL-000129,Robo total,1677026.61,True
GAR-0000469,POL-000129,Asistencia en ruta,4666966.38,True
GAR-0000470,POL-000130,Daño propio,3738130.32,True
GAR-0000471,POL-000130,Responsabilidad civil,2834384.84,True
GAR-0000472,POL-000130,Asistencia en ruta,2294778.71,True
GAR-0000473,POL-000130,Robo parcial,3169319.21,True
GAR-0000474,POL-000131,Incendio,7110016.68,True
GAR-0000475,POL-000131,Granizo,4387456.76,True
GAR-0000476,POL-000131,Daño propio,6134983.86,True
GAR-0000477,POL-000131,Responsabilidad civil,2745455.72,True
GAR-0000478,POL-000132,Incendio,2734104.49,True
GAR-0000479,POL-000132,Robo total,4251332.14,True
GAR-0000480,POL-000133,Granizo,2772793.9,True
GAR-0000481,POL-000133,Robo total,2408925.36,True
GAR-0000482,POL-000133,Robo parcial,1140770.4,True
GAR-0000483,POL-000133,Asistencia en ruta,6877572.95,True
