id_parte,id_poliza,id_objeto_asegurado,id_perito,id_denunciante,id_receptor_pago,fecha_apertura,fecha_cierre,tipo_siniestro,estado,monto_reclamado,tipo_seguro,dias_resolucion
PAR-000019,POL-000019,OBJ-000019,PER-0032,CLI-00019,CLI-00019,2025-07-24,2025-10-21,Responsabilidad civil,Cerrado,30275.76,Automóvil,89
PAR-000020,POL-000020,OBJ-000020,PER-0002,CLI-00020,CLI-05828,2025-05-25,2025-06-25,Incendio,Cerrado,44709.98,Automóvil,31
PAR-000021,POL-000021,OBJ-000021,PER-0013,CLI-00021,CLI-00021,2023-10-03,2023-11-07,Responsabilidad civil,Cerrado,36870.15,Automóvil,35
PAR-000022,POL-000022,OBJ-000022,PER-0046,CLI-00022,CLI-00022,2025-08-23,2025-09-29,Granizo,Cerrado,36818.39,Automóvil,37
PAR-000023,POL-000023,OBJ-000023,PER-0052,CLI-00023,CLI-00023,2025-03-26,2025-03-30,Robo total,Cerrado,51462.07,Automóvil,4
PAR-000024,POL-000024,OBJ-000024,PER-0006,CLI-00024,CLI-00024,2025-12-21,2026-01-04,Responsabilidad civil,Cerrado,60321.71,Automóvil,14
PAR-000025,POL-000025,OBJ-000025,PER-0045,CLI-00025,CLI-00025,2023-11-02,2024-01-03,Choque,Cerrado,43054.1,Automóvil,62
PAR-000026,POL-000026,OBJ-000026,PER-0053,CLI-00026,CLI-00026,2024-06-29,2024-07-12,Granizo,Cerrado,36455.6,Automóvil,13
PAR-000027,POL-000027,OBJ-000027,PER-0033,CLI-00027,CLI-00027,2025-01-25,2025-04-04,Responsabilidad civil,Cerrado,74165.22,Automóvil,69
PAR-000028,POL-000028,OBJ-000028,PER-0027,CLI-00028,CLI-00028,2023-08-04,2023-09-29,Choque,Cerrado,49023.77,Automóvil,56
PAR-000029,POL-000029,OBJ-000029,PER-0026,CLI-00029,CLI-00029,2023-08-04,2023-10-30,Robo parcial,Cerrado,53631.1,Automóvil,87
PAR-000030,POL-000030,OBJ-000030,PER-0028,CLI-00030,CLI-02386,2024-11-26,2024-12-11,Robo total,Cerrado,35290.08,Automóvil,15
PAR-000031,POL-000031,OBJ-000031,PER-0001,CLI-00031,CLI-07692,2025-12-21,2026-03-14,Robo total,Cerrado,34549.54,Automóvil,83
PAR-000032,POL-000032,OBJ-000032,PER-0019,CLI-00032,CLI-06248,2026-03-21,2026-05-19,Responsabilidad civil,Cerrado,60148.83,Automóvil,59
PAR-000033,POL-000033,OBJ-000033,PER-0011,CLI-00033,CLI-00033,2024-09-27,2024-12-06,Granizo,Cerrado,27957.34,Automóvil,70
PAR-000034,POL-000034,OBJ-000034,PER-0015,CLI-00034,CLI-00034,2024-01-01,2024-02-28,Choque,Cerrado,32816.66,Automóvil,58
PAR-000035,POL-000035,OBJ-000035,PER-0038,CLI-00035,CLI-00035,2024-09-27,2024-10-21,Choque,Cerrado,1540.54,Automóvil,24
PAR-000036,POL-000036,OBJ-000036,PER-0039,CLI-00036,CLI-09178,2025-05-25,2025-06-16,Responsabilidad civil,Cerrado,21954.23,Automóvil,22
PAR-000037,POL-000037,OBJ-000037,PER-0043,CLI-00037,CLI-00037,2025-06-24,2025-09-22,Robo total,Cerrado,55231.28,Automóvil,90
PAR-000038,POL-000038,OBJ-000038,PER-0016,CLI-00038,CLI-00038,2024-09-27,2024-10-30,Responsabilidad civil,Cerrado,45180.22,Automóvil,33
PAR-000039,POL-000039,OBJ-000039,PER-0013,CLI-00039,CLI-00039,2025-09-22,2025-09-30,Choque,Cerrado,62181.25,Automóvil,8
PAR-000040,POL-000040,OBJ-000040,PER-0016,CLI-00040,CLI-00040,2025-12-21,2026-03-04,Incendio,Cerrado,16402.57,Automóvil,73
PAR-000041,POL-000041,OBJ-000041,PER-0011,CLI-00041,CLI-00041,2025-09-22,2025-09-26,Granizo,Cerrado,53153.31,Automóvil,4
PAR-000042,POL-000042,OBJ-000042,PER-0060,CLI-00042,CLI-00042,2026-01-20,2026-03-13,Granizo,Cerrado,2002.63,Automóvil,52
PAR-000043,POL-000043,OBJ-000043,PER-0050,CLI-00043,CLI-00043,2025-04-25,2025-07-05,Robo total,Cerrado,79991.55,Automóvil,71
PAR-000044,POL-000044,OBJ-000044,PER-0055,CLI-00044,CLI-00044,2025-01-25,2025-02-13,Robo total,Cerrado,47979.93,Automóvil,19
PAR-000045,POL-000045,OBJ-000045,PER-0024,CLI-00045,CLI-00045,2025-01-25,2025-03-22,Responsabilidad civil,Cerrado,29664.82,Automóvil,56
PAR-000046,POL-000046,OBJ-000046,PER-0051,CLI-00046,CLI-00046,2025-11-21,2026-02-17,Robo parcial,Cerrado,52.47,Automóvil,88
PAR-000047,POL-000047,OBJ-000047,PER-0001,CLI-00047,CLI-00512,2025-09-22,2025-11-25,Robo parcial,Cerrado,54703.04,Automóvil,64
PAR-000048,POL-000048,OBJ-000048,PER-0045,CLI-00048,CLI-00048,2025-09-22,2025-10-07,Robo total,Cerrado,42704.74,Automóvil,15
PAR-000049,POL-000049,OBJ-000049,PER-0008,CLI-00049,CLI-00049,2025-05-25,2025-08-03,Robo total,Cerrado,50506.9,Automóvil,70
PAR-000050,POL-000050,OBJ-000050,PER-0010,CLI-00050,CLI-06485,2025-05-25,2025-08-06,Incendio,Cerrado,30171.11,Automóvil,73
PAR-000051,POL-000051,OBJ-000051,PER-0051,CLI-00051,CLI-04976,2026-03-21,2026-06-14,Incendio,Cerrado,54947.34,Automóvil,85
PAR-000052,POL-000052,OBJ-000052,PER-0026,CLI-00052,CLI-00052,2024-10-27,2024-12-19,Granizo,Cerrado,47689.9,Automóvil,53
PAR-000053,POL-000053,OBJ-000053,PER-0002,CLI-00053,CLI-00053,2025-12-21,2026-03-13,Robo parcial,Cerrado,16937.4,Automóvil,82
PAR-000054,POL-000054,OBJ-000054,PER-0002,CLI-00054,CLI-01675,2024-09-27,2024-12-13,Responsabilidad civil,Cerrado,32679.14,Automóvil,77
PAR-000055,POL-000055,OBJ-000055,PER-0047,CLI-00055,CLI-00055,2024-08-28,2024-11-17,Granizo,Cerrado,85357.11,Automóvil,81
PAR-000056,POL-000056,OBJ-000056,PER-0059,CLI-00056,CLI-00056,2026-03-21,2026-05-21,Choque,Cerrado,41548.35,Automóvil,61
PAR-000057,POL-000057,OBJ-000057,PER-0057,CLI-00057,CLI-00057,2024-04-30,2024-07-18,Incendio,Cerrado,30336.76,Automóvil,79
PAR-000058,POL-000058,OBJ-000058,PER-0045,CLI-00058,CLI-04195,2023-12-02,2024-01-06,Robo total,Cerrado,50239.92,Automóvil,35
PAR-000059,POL-000059,OBJ-000059,PER-0019,CLI-00059,CLI-00059,2023-07-05,2023-08-15,Responsabilidad civil,Cerrado,74017.08,Automóvil,41
PAR-000060,POL-000060,OBJ-000060,PER-0047,CLI-00060,CLI-00060,2025-12-21,2026-02-17,Choque,Cerrado,49195.77,Automóvil,58
PAR-000061,POL-000061,OBJ-000061,PER-0018,CLI-00061,CLI-00061,2026-03-21,2026-05-18,Choque,Cerrado,33262.95,Automóvil,58
PAR-000062,POL-000062,OBJ-000062,PER-0032,CLI-00062,CLI-07910,2025-12-21,2026-01-17,Robo parcial,Cerrado,52165.41,Automóvil,27
PAR-000063,POL-000063,OBJ-000063,PER-0045,CLI-00063,CLI-00063,2024-08-28,2024-09-01,Incendio,Cerrado,93868.98,Automóvil,4
PAR-000064,POL-000064,OBJ-000064,PER-0036,CLI-00064,CLI-03959,2024-04-30,2024-05-04,Incendio,Cerrado,10643.64,Automóvil,4
PAR-000065,POL-000065,OBJ-000065,PER-0024,CLI-00065,CLI-08538,2024-07-29,2024-08-19,Granizo,Cerrado,74150.66,Automóvil,21
PAR-000066,POL-000066,OBJ-000066,PER-0021,CLI-00066,CLI-00066,2023-12-02,2024-01-26,Granizo,Cerrado,32341.17,Automóvil,55
PAR-000067,POL-000067,OBJ-000067,PER-0002,CLI-00067,CLI-00067,2025-09-22,2025-10-18,Robo parcial,Cerrado,57398.64,Automóvil,26
PAR-000068,POL-000068,OBJ-000068,PER-0050,CLI-00068,CLI-00068,2025-11-21,2026-01-27,Choque,Cerrado,50637.46,Automóvil,67
PAR-000069,POL-000069,OBJ-000069,PER-0039,CLI-00069,CLI-00069,2025-03-26,2025-04-08,Robo parcial,Cerrado,50020.44,Automóvil,13
PAR-000070,POL-000070,OBJ-000070,PER-0045,CLI-00070,CLI-00070,2024-11-26,2024-12-04,Incendio,Cerrado,53637.4,Automóvil,8
PAR-000071,POL-000071,OBJ-000071,PER-0029,CLI-00071,CLI-00071,2024-11-26,2025-01-15,Responsabilidad civil,Cerrado,27501.1,Automóvil,50
PAR-000072,POL-000072,OBJ-000072,PER-0035,CLI-00072,CLI-00072,2023-12-02,2024-01-20,Robo total,Cerrado,558.28,Automóvil,49
PAR-000073,POL-000073,OBJ-000073,PER-0010,CLI-00073,CLI-00073,2026-03-21,2026-05-22,Incendio,Cerrado,31096.65,Automóvil,62
PAR-000074,POL-000074,OBJ-000074,PER-0006,CLI-00074,CLI-00074,2023-11-02,2023-12-13,Choque,Cerrado,88664.85,Automóvil,41
PAR-000075,POL-000075,OBJ-000075,PER-0047,CLI-00075,CLI-00075,2025-11-21,2026-01-12,Incendio,Cerrado,45283.45,Automóvil,52
PAR-000076,POL-000076,OBJ-000076,PER-0010,CLI-00076,CLI-00076,2024-01-31,2024-02-20,Responsabilidad civil,Cerrado,32637.75,Automóvil,20
PAR-000077,POL-000077,OBJ-000077,PER-0050,CLI-00077,CLI-00077,2024-11-26,2024-12-06,Robo total,Cerrado,3126.38,Automóvil,10
PAR-000078,POL-000078,OBJ-000078,PER-0001,CLI-00078,CLI-00078,2024-08-28,2024-09-15,Choque,Cerrado,34606.06,Automóvil,18
PAR-000079,POL-000079,OBJ-000079,PER-0016,CLI-00079,CLI-00079,2025-10-22,2025-11-16,Robo parcial,Cerrado,12008.37,Automóvil,25
PAR-000080,POL-000080,OBJ-000080,PER-0003,CLI-00080,CLI-00080,2025-12-21,2026-03-15,Robo parcial,Cerrado,43591.87,Automóvil,84
PAR-000081,POL-000081,OBJ-000081,PER-0017,CLI-00081,CLI-00081,2024-08-28,2024-09-20,Robo parcial,Cerrado,2814.82,Automóvil,23
PAR-000082,POL-000082,OBJ-000082,PER-0045,CLI-00082,CLI-01533,2024-05-30,2024-08-06,Robo parcial,Cerrado,81508.9,Automóvil,68
PAR-000083,POL-000083,OBJ-000083,PER-0051,CLI-00083,CLI-00083,2025-04-25,2025-06-24,Robo parcial,Cerrado,46221.41,Automóvil,60
PAR-000084,POL-000084,OBJ-000084,PER-0007,CLI-00084,CLI-01898,2023-06-05,2023-08-11,Incendio,Cerrado,32473.47,Automóvil,67
PAR-000085,POL-000085,OBJ-000085,PER-0021,CLI-00085,CLI-00085,2024-01-01,2024-01-11,Robo parcial,Cerrado,46796.15,Automóvil,10
PAR-000086,POL-000086,OBJ-000086,PER-0010,CLI-00086,CLI-00086,2025-01-25,2025-03-05,Robo total,Cerrado,32013.81,Automóvil,39
PAR-000087,POL-000087,OBJ-000087,PER-0031,CLI-00087,CLI-00087,2024-01-01,2024-01-16,Robo parcial,Cerrado,49863.8,Automóvil,15
PAR-000088,POL-000088,OBJ-000088,PER-0013,CLI-00088,CLI-00088,2026-01-20,2026-03-24,Incendio,Cerrado,28326.82,Automóvil,63
PAR-000089,POL-000089,OBJ-000089,PER-0013,CLI-00089,CLI-03367,2025-03-26,2025-05-16,Robo total,Cerrado,30720.23,Automóvil,51
PAR-000090,POL-000090,OBJ-000090,PER-0025,CLI-00090,CLI-00090,2025-01-25,2025-04-11,Robo parcial,Cerrado,37617.94,Automóvil,76
PAR-000091,POL-000091,OBJ-000091,PER-0001,CLI-00091,CLI-00091,2024-07-29,2024-09-29,Responsabilidad civil,Cerrado,67995.82,Automóvil,62
PAR-000092,POL-000092,OBJ-000092,PER-0028,CLI-00092,CLI-00092,2025-09-22,2025-10-30,Robo total,Cerrado,59156.78,Automóvil,38
PAR-000093,POL-000093,OBJ-000093,PER-0054,CLI-00093,CLI-00093,2024-04-30,2024-05-22,Robo parcial,Cerrado,1094.58,Automóvil,22
PAR-000094,POL-000094,OBJ-000094,PER-0039,CLI-00094,CLI-00094,2024-05-30,2024-07-26,Robo total,Cerrado,36262.37,Automóvil,57
PAR-000095,POL-000095,OBJ-000095,PER-0052,CLI-00095,CLI-00095,2025-08-23,2025-10-06,Responsabilidad civil,Cerrado,84186.92,Automóvil,44
PAR-000096,POL-000096,OBJ-000096,PER-0049,CLI-00096,CLI-00096,2026-02-19,2026-03-26,Granizo,Cerrado,48526.32,Automóvil,35
PAR-000097,POL-000097,OBJ-000097,PER-0060,CLI-00097,CLI-00097,2025-04-25,2025-06-19,Responsabilidad civil,Cerrado,12762.86,Automóvil,55
PAR-000098,POL-000098,OBJ-000098,PER-0022,CLI-00098,CLI-00098,2023-12-02,2024-02-11,Robo parcial,Cerrado,30882.35,Automóvil,71
PAR-000099,POL-000099,OBJ-000099,PER-0028,CLI-00099,CLI-00099,2023-11-02,2024-01-08,Robo total,Cerrado,26168.63,Automóvil,67
PAR-000100,POL-000100,OBJ-000100,PER-0057,CLI-00100,CLI-00100,2025-05-25,2025-06-09,Choque,Cerrado,37117.57,Automóvil,15
PAR-000101,POL-000101,OBJ-000101,PER-0030,CLI-00101,CLI-00101,2026-01-20,2026-03-31,Responsabilidad civil,Cerrado,53760.13,Automóvil,70
PAR-000102,POL-000102,OBJ-000102,PER-0010,CLI-00102,CLI-00102,2024-04-30,2024-07-27,Choque,Cerrado,39927.37,Automóvil,88
PAR-000103,POL-000103,OBJ-000103,PER-0043,CLI-00103,CLI-00103,2026-02-19,2026-04-14,Choque,Cerrado,5044.44,Automóvil,54
PAR-000104,POL-000104,OBJ-000104,PER-0032,CLI-00104,CLI-04403,2025-07-24,2025-08-28,Robo parcial,Cerrado,51645.85,Automóvil,35
PAR-000105,POL-000105,OBJ-000105,PER-0060,CLI-00105,CLI-00105,2024-01-01,2024-03-05,Granizo,Cerrado,85491.71,Automóvil,64
PAR-000106,POL-000106,OBJ-000106,PER-0028,CLI-00106,CLI-00106,2023-12-02,2024-01-27,Responsabilidad civil,Cerrado,15212.43,Automóvil,56
PAR-000107,POL-000107,OBJ-000107,PER-0030,CLI-00107,CLI-00107,2025-03-26,2025-04-04,Robo parcial,Cerrado,4774.81,Automóvil,9
PAR-000108,POL-000108,OBJ-000108,PER-0026,CLI-00108,CLI-00108,2025-11-21,2025-12-05,Responsabilidad civil,Cerrado,56321.55,Automóvil,14
PAR-000109,POL-000109,OBJ-000109,PER-0014,CLI-00109,CLI-00109,2024-11-26,2025-01-17,Robo parcial,Cerrado,3172.84,Automóvil,52
PAR-000110,POL-000110,OBJ-000110,PER-0039,CLI-00110,CLI-00110,2025-11-21,2026-01-25,Robo parcial,Cerrado,27748.92,Automóvil,65
PAR-000111,POL-000111,OBJ-000111,PER-0018,CLI-00111,CLI-00111,2025-12-21,2026-02-13,Choque,Cerrado,42609.22,Automóvil,54
PAR-000112,POL-000112,OBJ-000112,PER-0049,CLI-00112,CLI-00112,2024-12-26,2025-02-09,Robo total,Cerrado,51087.16,Automóvil,45
PAR-000113,POL-000113,OBJ-000113,PER-0006,CLI-00113,CLI-00113,2024-09-27,2024-10-24,Choque,Cerrado,80234.7,Automóvil,27
PAR-000114,POL-000114,OBJ-000114,PER-0001,CLI-00114,CLI-00114,2024-12-26,2025-03-09,Granizo,Cerrado,31771.18,Automóvil,73
PAR-000115,POL-000115,OBJ-000115,PER-0028,CLI-00115,CLI-00115,2025-06-24,2025-09-06,Robo parcial,Cerrado,41762.27,Automóvil,74
PAR-000116,POL-000116,OBJ-000116,PER-0003,CLI-00116,CLI-00116,2025-05-25,2025-07-25,Granizo,Cerrado,53415.5,Automóvil,61
PAR-000117,POL-000117,OBJ-000117,PER-0021,CLI-00117,CLI-00117,2023-06-05,2023-08-23,Granizo,Cerrado,61022.54,Automóvil,79
PAR-000118,POL-000118,OBJ-000118,PER-0038,CLI-00118,CLI-00118,2023-06-05,2023-08-27,Robo total,Cerrado,50302.16,Automóvil,83
PAR-000119,POL-000119,OBJ-000119,PER-0014,CLI-00119,CLI-00119,2024-04-30,2024-05-22,Responsabilidad civil,Cerrado,37022.38,Automóvil,22
PAR-000120,POL-000120,OBJ-000120,PER-0004,CLI-00120,CLI-00120,2025-06-24,2025-08-03,Granizo,Cerrado,24581.76,Automóvil,40
PAR-000121,POL-000121,OBJ-000121,PER-0005,CLI-00121,CLI-00121,2024-03-01,2024-04-20,Granizo,Cerrado,54379.34,Automóvil,50
PAR-000122,POL-000122,OBJ-000122,PER-0055,CLI-00122,CLI-00122,2025-10-22,2025-11-18,Choque,Cerrado,6158.2,Automóvil,27
PAR-000123,POL-000123,OBJ-000123,PER-0033,CLI-00123,CLI-06578,2024-11-26,2025-01-20,Responsabilidad civil,Cerrado,29931.62,Automóvil,55
PAR-000124,POL-000124,OBJ-000124,PER-0060,CLI-00124,CLI-00124,2025-07-24,2025-08-20,Granizo,Cerrado,84446.81,Automóvil,27
PAR-000125,POL-000125,OBJ-000125,PER-0052,CLI-00125,CLI-00125,2024-11-26,2024-12-15,Granizo,Cerrado,10388.85,Automóvil,19
PAR-000126,POL-000126,OBJ-000126,PER-0041,CLI-00126,CLI-01489,2025-06-24,2025-08-23,Choque,Cerrado,53245.31,Automóvil,60
PAR-000127,POL-000127,OBJ-000127,PER-0011,CLI-00127,CLI-00127,2024-08-28,2024-08-31,Responsabilidad civil,Cerrado,13641.94,Automóvil,3
PAR-000128,POL-000128,OBJ-000128,PER-0023,CLI-00128,CLI-00128,2023-12-02,2023-12-29,Granizo,Cerrado,40400.34,Automóvil,27
PAR-000129,POL-000129,OBJ-000129,PER-0058,CLI-00129,CLI-08218,2025-03-26,2025-05-18,Robo parcial,Cerrado,30970.04,Automóvil,53
PAR-000130,POL-000130,OBJ-000130,PER-0039,CLI-00130,CLI-00130,2025-07-24,2025-08-04,Responsabilidad civil,Cerrado,297.1,Automóvil,11
PAR-000131,POL-000131,OBJ-000131,PER-0057,CLI-00131,CLI-00131,2025-02-24,2025-03-21,Granizo,Cerrado,48130.74,Automóvil,25
PAR-000132,POL-000132,OBJ-000132,PER-0015,CLI-00132,CLI-00132,2025-02-24,2025-02-28,Responsabilidad civil,Cerrado,11891.23,Automóvil,4
PAR-000133,POL-000133,OBJ-000133,PER-0057,CLI-00133,CLI-00133,2024-12-26,2025-01-28,Incendio,Cerrado,18721.31,Automóvil,33
PAR-000134,POL-000134,OBJ-000134,PER-0035,CLI-00134,CLI-00134,2023-09-03,2023-09-16,Responsabilidad civil,Cerrado,78947.59,Automóvil,13
PAR-000135,POL-000135,OBJ-000135,PER-0026,CLI-00135,CLI-00135,2025-01-25,2025-03-22,Choque,Cerrado,56286.82,Automóvil,56
PAR-000136,POL-000136,OBJ-000136,PER-0047,CLI-00136,CLI-02762,2025-10-22,2026-01-14,Granizo,Cerrado,98563.67,Automóvil,84
PAR-000137,POL-000137,OBJ-000137,PER-0027,CLI-00137,CLI-00137,2025-11-21,2026-01-10,Robo total,Cerrado,5847.23,Automóvil,50
PAR-000138,POL-000138,OBJ-000138,PER-0012,CLI-00138,CLI-00138,2026-02-19,2026-03-09,Granizo,Cerrado,63648.11,Automóvil,18
PAR-000139,POL-000139,OBJ-000139,PER-0037,CLI-00139,CLI-00139,2025-03-26,2025-04-21,Incendio,Cerrado,27706.75,Automóvil,26
PAR-000140,POL-000140,OBJ-000140,PER-0015,CLI-00140,CLI-00140,2024-08-28,2024-10-24,Responsabilidad civil,Cerrado,43071.04,Automóvil,57
PAR-000141,POL-000141,OBJ-000141,PER-0039,CLI-00141,CLI-00141,2025-09-22,2025-12-09,Robo total,Cerrado,79181.45,Automóvil,78
PAR-000142,POL-000142,OBJ-000142,PER-0013,CLI-00142,CLI-00142,2025-07-24,2025-09-19,Choque,Cerrado,42895.25,Automóvil,57
PAR-000143,POL-000143,OBJ-000143,PER-0032,CLI-00143,CLI-00143,2023-11-02,2024-01-09,Incendio,Cerrado,119490.99,Automóvil,68
PAR-000144,POL-000144,OBJ-000144,PER-0013,CLI-00144,CLI-00144,2024-01-01,2024-01-17,Choque,Cerrado,72668.87,Automóvil,16
PAR-000145,POL-000145,OBJ-000145,PER-0038,CLI-00145,CLI-02401,2023-10-03,2023-11-21,Robo parcial,Cerrado,43828.49,Automóvil,49
PAR-000146,POL-000146,OBJ-000146,PER-0025,CLI-00146,CLI-00146,2023-07-05,2023-08-15,Responsabilidad civil,Cerrado,23895.81,Automóvil,41
PAR-000147,POL-000147,OBJ-000147,PER-0018,CLI-00147,CLI-07135,2025-09-22,2025-12-06,Robo parcial,Cerrado,35540.88,Automóvil,75
PAR-000148,POL-000148,OBJ-000148,PER-0005,CLI-00148,CLI-00836,2024-04-30,2024-07-05,Granizo,Cerrado,33327.17,Automóvil,66
PAR-000149,POL-000149,OBJ-000149,PER-0057,CLI-00149,CLI-00149,2025-06-24,2025-06-29,Choque,Cerrado,9640.9,Automóvil,5
PAR-000150,POL-000150,OBJ-000150,PER-0049,CLI-00150,CLI-00150,2026-01-20,2026-02-27,Incendio,Cerrado,53577.16,Automóvil,38
PAR-000151,POL-000151,OBJ-000151,PER-0026,CLI-00151,CLI-00151,2023-12-02,2023-12-15,Robo total,Cerrado,33708.89,Automóvil,13
PAR-000152,POL-000152,OBJ-000152,PER-0032,CLI-00152,CLI-01835,2023-12-02,2023-12-22,Incendio,Cerrado,18278.62,Automóvil,20
PAR-000153,POL-000153,OBJ-000153,PER-0008,CLI-00153,CLI-00153,2025-05-25,2025-08-23,Robo parcial,Cerrado,62681.93,Automóvil,90
PAR-000154,POL-000154,OBJ-000154,PER-0017,CLI-00154,CLI-00154,2026-02-19,2026-03-17,Choque,Cerrado,772.78,Automóvil,26
PAR-000155,POL-000155,OBJ-000155,PER-0060,CLI-00155,CLI-00155,2024-11-26,2024-11-30,Granizo,Cerrado,29899.94,Automóvil,4
PAR-000156,POL-000156,OBJ-000156,PER-0015,CLI-00156,CLI-00156,2025-03-26,2025-04-20,Robo total,Cerrado,31311.85,Automóvil,25
PAR-000157,POL-000157,OBJ-000157,PER-0049,CLI-00157,CLI-00157,2024-01-01,2024-03-11,Choque,Cerrado,5863.21,Automóvil,70
PAR-000158,POL-000158,OBJ-000158,PER-0041,CLI-00158,CLI-00158,2025-02-24,2025-04-03,Granizo,Cerrado,40986.61,Automóvil,38
PAR-000159,POL-000159,OBJ-000159,PER-0011,CLI-00159,CLI-00159,2024-10-27,2024-11-06,Responsabilidad civil,Cerrado,71614.98,Automóvil,10
PAR-000160,POL-000160,OBJ-000160,PER-0015,CLI-00160,CLI-00160,2025-02-24,2025-03-22,Incendio,Cerrado,13713.24,Automóvil,26
PAR-000161,POL-000161,OBJ-000161,PER-0021,CLI-00161,CLI-00161,2026-03-21,2026-05-05,Responsabilidad civil,Cerrado,62705.46,Automóvil,45
PAR-000162,POL-000162,OBJ-000162,PER-0040,CLI-00162,CLI-00162,2025-09-22,2025-10-16,Granizo,Cerrado,48948.35,Automóvil,24
PAR-000163,POL-000163,OBJ-000163,PER-0056,CLI-00163,CLI-00163,2025-02-24,2025-03-27,Responsabilidad civil,Cerrado,58334.68,Automóvil,31
PAR-000164,POL-000164,OBJ-000164,PER-0044,CLI-00164,CLI-00164,2025-09-22,2025-10-21,Responsabilidad civil,Cerrado,38182.82,Automóvil,29
PAR-000165,POL-000165,OBJ-000165,PER-0035,CLI-00165,CLI-09278,2025-01-25,2025-04-24,Choque,Cerrado,55824.99,Automóvil,89
PAR-000166,POL-000166,OBJ-000166,PER-0033,CLI-00166,CLI-00166,2025-04-25,2025-05-27,Incendio,Cerrado,49117.96,Automóvil,32
PAR-000167,POL-000167,OBJ-000167,PER-0024,CLI-00167,CLI-00167,2023-08-04,2023-08-15,Incendio,Cerrado,51246.57,Automóvil,11
PAR-000168,POL-000168,OBJ-000168,PER-0023,CLI-00168,CLI-00168,2024-11-26,2024-12-07,Choque,Cerrado,30110.28,Automóvil,11
PAR-000169,POL-000169,OBJ-000169,PER-0018,CLI-00169,CLI-00169,2026-03-21,2026-04-13,Robo parcial,Cerrado,25678.99,Automóvil,23
PAR-000170,POL-000170,OBJ-000170,PER-0013,CLI-00170,CLI-00170,2025-05-25,2025-07-30,Responsabilidad civil,Cerrado,35462.92,Automóvil,66
PAR-000171,POL-000171,OBJ-000171,PER-0047,CLI-00171,CLI-00171,2024-08-28,2024-11-25,Choque,Cerrado,54069.37,Automóvil,89
PAR-000172,POL-000172,OBJ-000172,PER-0010,CLI-00172,CLI-00172,2023-11-02,2023-12-18,Choque,Cerrado,27670.08,Automóvil,46
