id_evaluacion,id_parte,id_perito,fecha_visita,monto_estimado_dano,dictamen,requiere_reinspeccion
EVA-000036,PAR-000036,PER-0039,2025-05-30,20239.1,Daños totales. Se recomienda indemnización completa.,True
EVA-000037,PAR-000037,PER-0043,2025-06-29,38325.36,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000038,PAR-000038,PER-0016,2024-10-03,43982.55,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000039,PAR-000039,PER-0013,2025-09-26,48680.54,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000040,PAR-000040,PER-0016,2025-12-30,10437.99,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000041,PAR-000041,PER-0011,2025-10-02,33211.11,No se pudieron constatar los daños declarados.,False
EVA-000042,PAR-000042,PER-0060,2026-01-29,1923.48,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000043,PAR-000043,PER-0050,2025-04-29,68866.28,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000044,PAR-000044,PER-0055,2025-02-02,36444.13,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000045,PAR-000045,PER-0024,2025-01-30,18253.14,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000046,PAR-000046,PER-0051,2025-11-26,45.1,Daños constatados consistentes con lo declarado.,False
EVA-000047,PAR-000047,PER-0001,2025-09-25,34262.58,No se pudieron constatar los daños declarados.,False
EVA-000048,PAR-000048,PER-0045,2025-09-30,27723.69,Daños constatados consistentes con lo declarado.,False
EVA-000049,PAR-000049,PER-0008,2025-06-01,48234.63,Daños totales. Se recomienda indemnización completa.,True
EVA-000050,PAR-000050,PER-0010,2025-06-03,21442.49,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000051,PAR-000051,PER-0051,2026-03-27,50798.69,Daños constatados consistentes con lo declarado.,False
EVA-000052,PAR-000052,PER-0026,2024-10-30,37484.87,Daños constatados consistentes con lo declarado.,False
EVA-000053,PAR-000053,PER-0002,2025-12-23,14418.55,Se verificaron daños parciales en el bien asegurado.,True
EVA-000054,PAR-000054,PER-0002,2024-10-05,30941.38,Daños totales. Se recomienda indemnización completa.,False
EVA-000055,PAR-000055,PER-0047,2024-09-06,56643.98,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000056,PAR-000056,PER-0059,2026-03-27,35638.34,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000057,PAR-000057,PER-0057,2024-05-08,21103.22,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000058,PAR-000058,PER-0045,2023-12-09,30959.54,Se verificaron daños parciales en el bien asegurado.,False
EVA-000059,PAR-000059,PER-0019,2023-07-15,55390.14,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000060,PAR-000060,PER-0047,2025-12-25,40171.44,Se verificaron daños parciales en el bien asegurado.,False
EVA-000061,PAR-000061,PER-0018,2026-03-22,26755.25,Daños constatados consistentes con lo declarado.,False
EVA-000062,PAR-000062,PER-0032,2025-12-27,43972.3,Daños constatados consistentes con lo declarado.,True
EVA-000063,PAR-000063,PER-0045,2024-09-07,87264.2,Daños totales. Se recomienda indemnización completa.,False
EVA-000064,PAR-000064,PER-0036,2024-05-05,9042.33,No se pudieron constatar los daños declarados.,False
EVA-000065,PAR-000065,PER-0024,2024-07-30,64507.57,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000066,PAR-000066,PER-0021,2023-12-05,27124.27,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000067,PAR-000067,PER-0002,2025-10-01,56776.42,Se verificaron daños parciales en el bien asegurado.,False
EVA-000068,PAR-000068,PER-0050,2025-11-26,43115.33,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000069,PAR-000069,PER-0039,2025-03-28,49634.6,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000070,PAR-000070,PER-0045,2024-11-30,39579.96,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000071,PAR-000071,PER-0029,2024-12-03,18357.15,Daños constatados consistentes con lo declarado.,False
EVA-000072,PAR-000072,PER-0035,2023-12-08,508.96,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000073,PAR-000073,PER-0010,2026-03-24,22459.73,Daños totales. Se recomienda indemnización completa.,False
EVA-000074,PAR-000074,PER-0006,2023-11-05,71745.39,Daños totales. Se recomienda indemnización completa.,False
EVA-000075,PAR-000075,PER-0047,2025-11-23,36939.56,Daños constatados consistentes con lo declarado.,False
EVA-000076,PAR-000076,PER-0010,2024-02-05,22429.38,No se pudieron constatar los daños declarados.,False
EVA-000077,PAR-000077,PER-0050,2024-11-29,2032.4,Daños totales. Se recomienda indemnización completa.,False
EVA-000078,PAR-000078,PER-0001,2024-09-06,31158.15,Daños constatados consistentes con lo declarado.,False
EVA-000079,PAR-000079,PER-0016,2025-10-28,7995.28,No se pudieron constatar los daños declarados.,False
EVA-000080,PAR-000080,PER-0003,2025-12-26,36055.54,Daños constatados consistentes con lo declarado.,False
EVA-000081,PAR-000081,PER-0017,2024-08-30,2132.67,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000082,PAR-000082,PER-0045,2024-06-06,52718.82,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000083,PAR-000083,PER-0051,2025-04-27,43921.93,No se pudieron constatar los daños declarados.,True
EVA-000084,PAR-000084,PER-0007,2023-06-08,20059.94,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000085,PAR-000085,PER-0021,2024-01-02,34581.5,Daños constatados consistentes con lo declarado.,False
EVA-000086,PAR-000086,PER-0010,2025-01-31,31885.08,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000087,PAR-000087,PER-0031,2024-01-10,48671.15,No se pudieron constatar los daños declarados.,True
EVA-000088,PAR-000088,PER-0013,2026-01-22,26262.81,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000089,PAR-000089,PER-0013,2025-03-27,20073.28,Se verificaron daños parciales en el bien asegurado.,False
EVA-000090,PAR-000090,PER-0025,2025-02-03,24453.07,Se verificaron daños parciales en el bien asegurado.,False
EVA-000091,PAR-000091,PER-0001,2024-08-07,46099.57,Daños totales. Se recomienda indemnización completa.,False
EVA-000092,PAR-000092,PER-0028,2025-09-24,38089.13,Daños totales. Se recomienda indemnización completa.,True
EVA-000093,PAR-000093,PER-0054,2024-05-06,708.52,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000094,PAR-000094,PER-0039,2024-06-04,29947.41,Daños totales. Se recomienda indemnización completa.,False
EVA-000095,PAR-000095,PER-0052,2025-09-02,72807.6,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000096,PAR-000096,PER-0049,2026-02-24,47279.18,Daños constatados consistentes con lo declarado.,False
EVA-000097,PAR-000097,PER-0060,2025-05-05,9397.28,No se pudieron constatar los daños declarados.,True
EVA-000098,PAR-000098,PER-0022,2023-12-04,26720.16,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000099,PAR-000099,PER-0028,2023-11-07,17773.63,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000100,PAR-000100,PER-0057,2025-06-03,26112.91,No se pudieron constatar los daños declarados.,True
EVA-000101,PAR-000101,PER-0030,2026-01-28,47951.73,Daños constatados consistentes con lo declarado.,False
EVA-000102,PAR-000102,PER-0010,2024-05-06,26728.72,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000103,PAR-000103,PER-0043,2026-02-25,3849.61,Daños constatados consistentes con lo declarado.,False
EVA-000104,PAR-000104,PER-0032,2025-07-30,38802.91,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000105,PAR-000105,PER-0060,2024-01-06,62826.84,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000106,PAR-000106,PER-0028,2023-12-09,11542.07,Daños constatados consistentes con lo declarado.,False
EVA-000107,PAR-000107,PER-0030,2025-04-04,3211.97,Se verificaron daños parciales en el bien asegurado.,True
EVA-000108,PAR-000108,PER-0026,2025-11-22,50926.84,Se verificaron daños parciales en el bien asegurado.,False
EVA-000109,PAR-000109,PER-0014,2024-12-05,2815.75,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000110,PAR-000110,PER-0039,2025-11-28,19982.24,Daños constatados consistentes con lo declarado.,True
EVA-000111,PAR-000111,PER-0018,2025-12-30,34248.59,Daños constatados consistentes con lo declarado.,False
EVA-000112,PAR-000112,PER-0049,2025-01-03,48075.35,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000113,PAR-000113,PER-0006,2024-10-05,78755.34,Daños constatados consistentes con lo declarado.,True
EVA-000114,PAR-000114,PER-0001,2025-01-04,23483.4,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000115,PAR-000115,PER-0028,2025-07-01,34495.96,Daños constatados consistentes con lo declarado.,False
EVA-000116,PAR-000116,PER-0003,2025-06-03,46087.25,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000117,PAR-000117,PER-0021,2023-06-06,38062.01,Se verificaron daños parciales en el bien asegurado.,True
EVA-000118,PAR-000118,PER-0038,2023-06-08,32438.91,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000119,PAR-000119,PER-0014,2024-05-10,24592.53,Siniestro verificado. Monto estimado dentro del rango de cobertura.,True
EVA-000120,PAR-000120,PER-0004,2025-07-01,24152.24,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000121,PAR-000121,PER-0005,2024-03-02,51972.91,Daños constatados consistentes con lo declarado.,False
EVA-000122,PAR-000122,PER-0055,2025-10-27,5880.48,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000123,PAR-000123,PER-0033,2024-12-01,21025.03,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000124,PAR-000124,PER-0060,2025-08-01,77356.35,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000125,PAR-000125,PER-0052,2024-11-29,6333.01,Se verificaron daños parciales en el bien asegurado.,False
EVA-000126,PAR-000126,PER-0041,2025-07-03,49330.04,Se verificaron daños parciales en el bien asegurado.,False
EVA-000127,PAR-000127,PER-0011,2024-09-03,10532.03,No se pudieron constatar los daños declarados.,True
EVA-000128,PAR-000128,PER-0023,2023-12-06,39288.86,Se verificaron daños parciales en el bien asegurado.,False
EVA-000129,PAR-000129,PER-0058,2025-03-29,28600.6,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000130,PAR-000130,PER-0039,2025-08-03,223.01,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000131,PAR-000131,PER-0057,2025-02-28,31430.93,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000132,PAR-000132,PER-0015,2025-03-05,10335.16,Se verificaron daños parciales en el bien asegurado.,False
EVA-000133,PAR-000133,PER-0057,2025-01-01,14746.66,Daños totales. Se recomienda indemnización completa.,False
EVA-000134,PAR-000134,PER-0035,2023-09-07,56488.44,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000135,PAR-000135,PER-0026,2025-02-03,54046.81,Daños constatados consistentes con lo declarado.,False
EVA-000136,PAR-000136,PER-0047,2025-10-23,82041.29,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000137,PAR-000137,PER-0027,2025-11-23,3883.17,Daños constatados consistentes con lo declarado.,False
EVA-000138,PAR-000138,PER-0012,2026-02-27,58523.03,No se pudieron constatar los daños declarados.,True
EVA-000139,PAR-000139,PER-0037,2025-04-02,23217.64,Daños totales. Se recomienda indemnización completa.,True
EVA-000140,PAR-000140,PER-0015,2024-09-03,33729.19,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000141,PAR-000141,PER-0039,2025-09-28,56250.04,No se pudieron constatar los daños declarados.,False
EVA-000142,PAR-000142,PER-0013,2025-07-30,35008.25,Daños totales. Se recomienda indemnización completa.,False
EVA-000143,PAR-000143,PER-0032,2023-11-03,79563.78,Se verificaron daños parciales en el bien asegurado.,False
EVA-000144,PAR-000144,PER-0013,2024-01-03,58839.6,No se pudieron constatar los daños declarados.,False
EVA-000145,PAR-000145,PER-0038,2023-10-06,41826.2,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000146,PAR-000146,PER-0025,2023-07-09,19490.13,Siniestro verificado. Monto estimado dentro del rango de cobertura.,True
EVA-000147,PAR-000147,PER-0018,2025-09-29,22679.76,No se pudieron constatar los daños declarados.,False
EVA-000148,PAR-000148,PER-0005,2024-05-06,30566.33,No se pudieron constatar los daños declarados.,False
EVA-000149,PAR-000149,PER-0057,2025-07-01,7837.89,No se pudieron constatar los daños declarados.,False
EVA-000150,PAR-000150,PER-0049,2026-01-23,36145.92,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000151,PAR-000151,PER-0026,2023-12-10,24640.56,Daños constatados consistentes con lo declarado.,False
EVA-000152,PAR-000152,PER-0032,2023-12-09,14545.77,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000153,PAR-000153,PER-0008,2025-05-29,55143.49,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000154,PAR-000154,PER-0017,2026-02-27,596.92,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000155,PAR-000155,PER-0060,2024-12-02,28323.78,Daños totales. Se recomienda indemnización completa.,True
EVA-000156,PAR-000156,PER-0015,2025-03-29,20610.75,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000157,PAR-000157,PER-0049,2024-01-03,4863.46,No se pudieron constatar los daños declarados.,False
EVA-000158,PAR-000158,PER-0041,2025-03-05,31449.86,No se pudieron constatar los daños declarados.,False
EVA-000159,PAR-000159,PER-0011,2024-10-29,46725.34,No se pudieron constatar los daños declarados.,False
EVA-000160,PAR-000160,PER-0015,2025-03-04,10382.61,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000161,PAR-000161,PER-0021,2026-03-25,39247.38,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000162,PAR-000162,PER-0040,2025-09-24,36378.4,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000163,PAR-000163,PER-0056,2025-02-26,45386.89,Daños constatados consistentes con lo declarado.,False
EVA-000164,PAR-000164,PER-0044,2025-10-01,37463.5,Daños constatados consistentes con lo declarado.,False
EVA-000165,PAR-000165,PER-0035,2025-01-31,36761.21,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000166,PAR-000166,PER-0033,2025-04-30,47358.97,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000167,PAR-000167,PER-0024,2023-08-05,37576.28,Daños totales. Se recomienda indemnización completa.,False
EVA-000168,PAR-000168,PER-0023,2024-12-06,28044.81,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000169,PAR-000169,PER-0018,2026-03-31,17951.66,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000170,PAR-000170,PER-0013,2025-06-01,21295.2,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000171,PAR-000171,PER-0047,2024-09-03,49335.87,No se pudieron constatar los daños declarados.,False
EVA-000172,PAR-000172,PER-0010,2023-11-11,23911.73,Daños totales. Se recomienda indemnización completa.,False
EVA-000173,PAR-000173,PER-0044,2025-04-28,1552.01,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000174,PAR-000174,PER-0028,2025-12-01,23475.82,Daños totales. Se recomienda indemnización completa.,False
EVA-000175,PAR-000175,PER-0023,2024-05-31,56071.15,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000176,PAR-000176,PER-0044,2024-05-10,5684.43,Siniestro verificado. Monto estimado dentro del rango de cobertura.,True
EVA-000177,PAR-000177,PER-0016,2026-03-24,20763.04,Daños totales. Se recomienda indemnización completa.,True
EVA-000178,PAR-000178,PER-0047,2026-01-24,14930.19,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000179,PAR-000179,PER-0014,2026-01-28,40618.56,No se pudieron constatar los daños declarados.,False
EVA-000180,PAR-000180,PER-0030,2024-12-02,51460.82,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000181,PAR-000181,PER-0007,2025-05-01,37740.33,Se verificaron daños parciales en el bien asegurado.,False
EVA-000182,PAR-000182,PER-0006,2025-12-24,106442.93,Se verificaron daños parciales en el bien asegurado.,False
EVA-000183,PAR-000183,PER-0005,2024-01-02,36209.88,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000184,PAR-000184,PER-0051,2024-06-02,27316.44,No se pudieron constatar los daños declarados.,False
EVA-000185,PAR-000185,PER-0011,2026-01-28,66458.53,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000186,PAR-000186,PER-0012,2025-05-27,53582.15,Se verificaron daños parciales en el bien asegurado.,False
EVA-000187,PAR-000187,PER-0060,2024-03-04,53285.13,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000188,PAR-000188,PER-0010,2024-09-02,50437.3,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000189,PAR-000189,PER-0049,2026-01-29,18823.83,No se pudieron constatar los daños declarados.,False
EVA-000190,PAR-000190,PER-0024,2025-12-01,19391.73,Se verificaron daños parciales en el bien asegurado.,False
EVA-000191,PAR-000191,PER-0021,2025-05-02,39555.29,Se verificaron daños parciales en el bien asegurado.,False
EVA-000192,PAR-000192,PER-0048,2025-11-30,45042.19,Daños constatados consistentes con lo declarado.,True
EVA-000193,PAR-000193,PER-0045,2024-02-04,29475.07,Se verificaron daños parciales en el bien asegurado.,False
EVA-000194,PAR-000194,PER-0043,2025-09-25,25315.31,Daños totales. Se recomienda indemnización completa.,False
EVA-000195,PAR-000195,PER-0008,2025-10-26,20898.67,Daños constatados consistentes con lo declarado.,False
EVA-000196,PAR-000196,PER-0042,2025-06-02,37558.68,No se pudieron constatar los daños declarados.,False
EVA-000197,PAR-000197,PER-0005,2025-05-04,186650.44,No se pudieron constatar los daños declarados.,False
EVA-000198,PAR-000198,PER-0003,2026-01-29,3898.84,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000199,PAR-000199,PER-0005,2025-05-04,79181.92,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000200,PAR-000200,PER-0055,2025-01-29,27922.63,Daños totales. Se recomienda indemnización completa.,False
EVA-000201,PAR-000201,PER-0011,2023-11-04,69244.51,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000202,PAR-000202,PER-0006,2026-03-26,41841.85,No se pudieron constatar los daños declarados.,False
EVA-000203,PAR-000203,PER-0009,2025-12-22,32869.19,Daños constatados consistentes con lo declarado.,False
EVA-000204,PAR-000204,PER-0043,2024-09-03,90038.3,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000205,PAR-000205,PER-0049,2025-08-26,38286.63,Daños totales. Se recomienda indemnización completa.,False
EVA-000206,PAR-000206,PER-0052,2025-03-02,99269.34,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000207,PAR-000207,PER-0055,2024-12-29,17344.65,Daños totales. Se recomienda indemnización completa.,False
EVA-000208,PAR-000208,PER-0023,2025-03-27,70332.45,Daños totales. Se recomienda indemnización completa.,False
EVA-000209,PAR-000209,PER-0001,2025-07-01,52570.44,No se pudieron constatar los daños declarados.,False
EVA-000210,PAR-000210,PER-0053,2025-02-01,7523.91,Daños totales. Se recomienda indemnización completa.,False
EVA-000211,PAR-000211,PER-0057,2025-04-27,39915.46,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000212,PAR-000212,PER-0051,2024-01-04,21633.61,Se verificaron daños parciales en el bien asegurado.,False
EVA-000213,PAR-000213,PER-0053,2025-12-22,31050.73,No se pudieron constatar los daños declarados.,False
EVA-000214,PAR-000214,PER-0014,2026-02-21,33283.34,Daños totales. Se recomienda indemnización completa.,True
EVA-000215,PAR-000215,PER-0026,2025-09-30,25048.83,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000216,PAR-000216,PER-0019,2025-10-28,46134.62,Daños totales. Se recomienda indemnización completa.,False
EVA-000217,PAR-000217,PER-0004,2024-09-01,49021.97,Se verificaron daños parciales en el bien asegurado.,True
EVA-000218,PAR-000218,PER-0047,2026-03-22,31192.35,Se verificaron daños parciales en el bien asegurado.,True
EVA-000219,PAR-000219,PER-0023,2025-04-29,50304.85,No se pudieron constatar los daños declarados.,False
EVA-000220,PAR-000220,PER-0047,2024-10-02,26981.48,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000221,PAR-000221,PER-0002,2026-03-25,27092.84,No se pudieron constatar los daños declarados.,False
EVA-000222,PAR-000222,PER-0038,2026-03-24,26858.03,Daños totales. Se recomienda indemnización completa.,True
EVA-000223,PAR-000223,PER-0017,2025-07-30,42425.86,No se pudieron constatar los daños declarados.,False
EVA-000224,PAR-000224,PER-0033,2023-11-08,27205.66,No se pudieron constatar los daños declarados.,False
EVA-000225,PAR-000225,PER-0025,2024-06-03,38374.0,Indicios de preexistencia. Se requiere investigación adicional.,True
EVA-000226,PAR-000226,PER-0001,2025-09-23,32604.54,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000227,PAR-000227,PER-0060,2026-02-21,54823.56,Daños constatados consistentes con lo declarado.,False
EVA-000228,PAR-000228,PER-0016,2025-01-28,10505.33,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000229,PAR-000229,PER-0037,2025-03-28,30834.59,Daños totales. Se recomienda indemnización completa.,False
EVA-000230,PAR-000230,PER-0024,2025-08-29,26330.33,Daños totales. Se recomienda indemnización completa.,True
EVA-000231,PAR-000231,PER-0034,2024-10-28,21523.76,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000232,PAR-000232,PER-0050,2025-07-04,17048.42,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000233,PAR-000233,PER-0055,2024-11-06,19524.21,Se verificaron daños parciales en el bien asegurado.,False
EVA-000234,PAR-000234,PER-0019,2025-04-28,62602.73,No se pudieron constatar los daños declarados.,False
EVA-000235,PAR-000235,PER-0039,2024-10-06,20373.71,Daños verificados parcialmente. Se recomienda pago proporcional.,True
EVA-000236,PAR-000236,PER-0051,2026-01-30,28687.04,Daños verificados parcialmente. Se recomienda pago proporcional.,False
EVA-000237,PAR-000237,PER-0002,2025-05-03,9630.36,Daños totales. Se recomienda indemnización completa.,False
EVA-000238,PAR-000238,PER-0028,2025-08-27,59304.6,No se pudieron constatar los daños declarados.,False
EVA-000239,PAR-000239,PER-0012,2024-10-31,27050.3,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000240,PAR-000240,PER-0042,2025-10-02,27331.31,No se pudieron constatar los daños declarados.,False
EVA-000241,PAR-000241,PER-0037,2024-11-04,26346.13,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000242,PAR-000242,PER-0047,2024-07-02,8293.37,Se verificaron daños parciales en el bien asegurado.,False
EVA-000243,PAR-000243,PER-0036,2025-04-04,21329.43,Siniestro verificado. Monto estimado dentro del rango de cobertura.,False
EVA-000244,PAR-000244,PER-0049,2025-10-23,44437.13,Se verificaron daños parciales en el bien asegurado.,False
EVA-000245,PAR-000245,PER-0035,2026-02-28,42088.88,Indicios de preexistencia. Se requiere investigación adicional.,False
EVA-000246,PAR-000246,PER-0054,2025-10-31,33239.99,No se pudieron constatar los daños declarados.,False
EVA-000247,PAR-000247,PER-0013,2025-12-27,24909.27,Daños totales. Se recomienda indemnización completa.,False
EVA-000248,PAR-000248,PER-0056,2026-01-21,24427.32,Daños constatados consistentes con lo declarado.,False
