id_pago,id_parte,id_receptor,monto_pagado,fecha_pago,metodo_pago,cuota,total_cuotas
PAG-0000024,PAR-000014,CLI-00014,15773.79,2024-07-29,Transferencia,3,3
PAG-0000025,PAR-000015,CLI-04018,27589.85,2024-08-06,Débito automático,1,1
PAG-0000026,PAR-000016,CLI-00016,1816.89,2025-08-06,Débito automático,1,2
PAG-0000027,PAR-000016,CLI-00016,1736.42,2025-08-13,Transferencia,2,2
PAG-0000028,PAR-000017,CLI-00017,28690.82,2025-05-07,Cheque,1,1
PAG-0000029,PAR-000018,CLI-00018,51644.89,2025-07-13,Débito automático,1,1
PAG-0000030,PAR-000019,CLI-00019,13729.66,2025-11-04,Débito automático,1,2
PAG-0000031,PAR-000019,CLI-00019,14201.25,2025-11-11,Transferencia,2,2
PAG-0000032,PAR-000020,CLI-05828,14077.05,2025-06-30,Transferencia,1,3
PAG-0000033,PAR-000020,CLI-05828,14388.22,2025-07-07,Transferencia,2,3
PAG-0000034,PAR-000020,CLI-05828,13547.96,2025-07-14,Transferencia,3,3
PAG-0000035,PAR-000021,CLI-00021,16781.46,2023-11-19,Cheque,1,2
PAG-0000036,PAR-000021,CLI-00021,16825.7,2023-11-26,Débito automático,2,2
PAG-0000037,PAR-000022,CLI-00022,13741.8,2025-10-09,Débito automático,1,2
PAG-0000038,PAR-000022,CLI-00022,12987.97,2025-10-16,Cheque,2,2
PAG-0000039,PAR-000023,CLI-00023,43092.65,2025-04-03,Transferencia,1,1
PAG-0000040,PAR-000024,CLI-00024,61033.52,2026-01-07,Transferencia,1,1
PAG-0000041,PAR-000025,CLI-00025,32249.85,2024-01-11,Transferencia,1,1
PAG-0000042,PAR-000026,CLI-00026,21742.17,2024-07-18,Transferencia,1,1
PAG-0000043,PAR-000027,CLI-00027,57593.42,2025-04-11,Cheque,1,1
PAG-0000044,PAR-000028,CLI-00028,32751.82,2023-10-01,Débito automático,1,1
PAG-0000045,PAR-000029,CLI-00029,18194.34,2023-11-01,Cheque,1,2
PAG-0000046,PAR-000029,CLI-00029,19793.38,2023-11-08,Transferencia,2,2
PAG-0000047,PAR-000030,CLI-02386,23013.18,2024-12-15,Transferencia,1,1
PAG-0000048,PAR-000031,CLI-07692,32914.14,2026-03-22,Débito automático,1,1
PAG-0000049,PAR-000032,CLI-06248,27975.65,2026-05-25,Débito automático,1,2
PAG-0000050,PAR-000032,CLI-06248,27441.73,2026-06-01,Cheque,2,2
PAG-0000051,PAR-000033,CLI-00033,19234.78,2024-12-17,Transferencia,1,1
PAG-0000052,PAR-000034,CLI-00034,31048.23,2024-03-08,Débito automático,1,1
PAG-0000053,PAR-000035,CLI-00035,583.73,2024-10-23,Transferencia,1,2
PAG-0000054,PAR-000035,CLI-00035,617.44,2024-10-30,Transferencia,2,2
PAG-0000055,PAR-000036,CLI-09178,21172.16,2025-06-30,Cheque,1,1
PAG-0000056,PAR-000037,CLI-00037,39973.4,2025-10-04,Débito automático,1,1
PAG-0000057,PAR-000038,CLI-00038,23053.7,2024-11-11,Débito automático,1,2
PAG-0000058,PAR-000038,CLI-00038,22987.94,2024-11-18,Cheque,2,2
PAG-0000059,PAR-000039,CLI-00039,48420.89,2025-10-11,Débito automático,1,1
PAG-0000060,PAR-000040,CLI-00040,10939.97,2026-03-17,Débito automático,1,1
PAG-0000061,PAR-000041,CLI-00041,31767.29,2025-10-02,Transferencia,1,1
PAG-0000062,PAR-000042,CLI-00042,1898.33,2026-03-15,Cheque,1,1
PAG-0000063,PAR-000043,CLI-00043,72016.04,2025-07-14,Débito automático,1,1
PAG-0000064,PAR-000044,CLI-00044,11558.3,2025-02-27,Transferencia,1,3
PAG-0000065,PAR-000044,CLI-00044,12428.39,2025-03-06,Débito automático,2,3
PAG-0000066,PAR-000044,CLI-00044,11561.08,2025-03-13,Transferencia,3,3
PAG-0000067,PAR-000045,CLI-00045,18161.81,2025-03-31,Transferencia,1,1
PAG-0000068,PAR-000046,CLI-00046,45.02,2026-02-21,Transferencia,1,1
PAG-0000069,PAR-000047,CLI-00512,33434.5,2025-11-28,Cheque,1,1
PAG-0000070,PAR-000048,CLI-00048,14317.19,2025-10-16,Transferencia,1,2
PAG-0000071,PAR-000048,CLI-00048,13959.03,2025-10-23,Transferencia,2,2
PAG-0000072,PAR-000049,CLI-00049,48402.64,2025-08-16,Cheque,1,1
PAG-0000073,PAR-000050,CLI-06485,21635.05,2025-08-21,Transferencia,1,1
PAG-0000074,PAR-000051,CLI-04976,48595.2,2026-06-28,Débito automático,1,1
PAG-0000075,PAR-000052,CLI-00052,18326.34,2024-12-26,Cheque,1,2
PAG-0000076,PAR-000052,CLI-00052,19657.98,2025-01-02,Débito automático,2,2
PAG-0000077,PAR-000053,CLI-00053,14724.01,2026-03-15,Cheque,1,1
PAG-0000078,PAR-000054,CLI-01675,30661.17,2024-12-20,Débito automático,1,1
PAG-0000079,PAR-000055,CLI-00055,58954.76,2024-11-28,Débito automático,1,1
PAG-0000080,PAR-000056,CLI-00056,17816.52,2026-05-23,Débito automático,1,2
PAG-0000081,PAR-000056,CLI-00056,18036.48,2026-05-30,Transferencia,2,2
PAG-0000082,PAR-000057,CLI-00057,20961.6,2024-07-19,Cheque,1,1
PAG-0000083,PAR-000058,CLI-04195,30760.72,2024-01-11,Transferencia,1,1
PAG-0000084,PAR-000059,CLI-00059,57507.96,2023-08-26,Transferencia,1,1
PAG-0000085,PAR-000060,CLI-00060,19297.73,2026-02-23,Transferencia,1,2
PAG-0000086,PAR-000060,CLI-00060,20260.19,2026-03-02,Cheque,2,2
PAG-0000087,PAR-000061,CLI-00061,26658.29,2026-05-29,Débito automático,1,1
PAG-0000088,PAR-000062,CLI-07910,42681.54,2026-01-30,Cheque,1,1
PAG-0000089,PAR-000063,CLI-00063,85077.52,2024-09-02,Cheque,1,1
PAG-0000090,PAR-000064,CLI-03959,4330.91,2024-05-17,Débito automático,1,2
PAG-0000091,PAR-000064,CLI-03959,4717.06,2024-05-24,Transferencia,2,2
PAG-0000092,PAR-000065,CLI-08538,64552.82,2024-09-01,Transferencia,1,1
PAG-0000093,PAR-000066,CLI-00066,28300.08,2024-01-28,Transferencia,1,1
PAG-0000094,PAR-000067,CLI-00067,58792.14,2025-10-24,Transferencia,1,1
PAG-0000095,PAR-000068,CLI-00068,44255.42,2026-01-29,Transferencia,1,1
PAG-0000096,PAR-000069,CLI-00069,23876.11,2025-04-13,Cheque,1,2
PAG-0000097,PAR-000069,CLI-00069,25736.24,2025-04-20,Transferencia,2,2
PAG-0000098,PAR-000070,CLI-00070,39732.22,2024-12-07,Débito automático,1,1
PAG-0000099,PAR-000071,CLI-00071,18857.68,2025-01-23,Transferencia,1,1
PAG-0000100,PAR-000072,CLI-00072,487.27,2024-02-02,Débito automático,1,1
PAG-0000101,PAR-000073,CLI-00073,23436.52,2026-05-24,Transferencia,1,1
PAG-0000102,PAR-000074,CLI-00074,37254.57,2023-12-20,Transferencia,1,2
PAG-0000103,PAR-000074,CLI-00074,36354.54,2023-12-27,Cheque,2,2
PAG-0000104,PAR-000075,CLI-00075,19140.49,2026-01-26,Transferencia,1,2
PAG-0000105,PAR-000075,CLI-00075,18567.95,2026-02-02,Cheque,2,2
PAG-0000106,PAR-000076,CLI-00076,21720.11,2024-02-22,Transferencia,1,1
PAG-0000107,PAR-000077,CLI-00077,1064.1,2024-12-13,Transferencia,1,2
PAG-0000108,PAR-000077,CLI-00077,1048.3,2024-12-20,Transferencia,2,2
PAG-0000109,PAR-000078,CLI-00078,30901.69,2024-09-26,Transferencia,1,1
PAG-0000110,PAR-000079,CLI-00079,8074.71,2025-11-29,Débito automático,1,1
PAG-0000111,PAR-000080,CLI-00080,18731.34,2026-03-24,Débito automático,1,2
PAG-0000112,PAR-000080,CLI-00080,17521.52,2026-03-31,Cheque,2,2
PAG-0000113,PAR-000081,CLI-00081,2044.85,2024-09-23,Cheque,1,1
PAG-0000114,PAR-000082,CLI-01533,51771.93,2024-08-18,Débito automático,1,1
PAG-0000115,PAR-000083,CLI-00083,14393.74,2025-07-02,Transferencia,1,3
PAG-0000116,PAR-000083,CLI-00083,15270.1,2025-07-09,Transferencia,2,3
PAG-0000117,PAR-000083,CLI-00083,15067.5,2025-07-16,Cheque,3,3
PAG-0000118,PAR-000084,CLI-01898,20874.99,2023-08-25,Transferencia,1,1
PAG-0000119,PAR-000085,CLI-00085,35088.17,2024-01-15,Cheque,1,1
PAG-0000120,PAR-000086,CLI-00086,15878.86,2025-03-16,Débito automático,1,2
PAG-0000121,PAR-000086,CLI-00086,16571.12,2025-03-23,Cheque,2,2
PAG-0000122,PAR-000087,CLI-00087,24008.57,2024-01-31,Débito automático,1,2
PAG-0000123,PAR-000087,CLI-00087,23212.54,2024-02-07,Débito automático,2,2
PAG-0000124,PAR-000088,CLI-00088,26369.58,2026-04-01,Transferencia,1,1
PAG-0000125,PAR-000089,CLI-03367,20455.1,2025-05-21,Transferencia,1,1
PAG-0000126,PAR-000090,CLI-00090,24606.7,2025-04-25,Transferencia,1,1
PAG-0000127,PAR-000091,CLI-00091,44635.87,2024-10-09,Cheque,1,1
PAG-0000128,PAR-000092,CLI-00092,36721.76,2025-11-08,Cheque,1,1
PAG-0000129,PAR-000093,CLI-00093,343.67,2024-05-26,Transferencia,1,2
PAG-0000130,PAR-000093,CLI-00093,359.24,2024-06-02,Transferencia,2,2
PAG-0000131,PAR-000094,CLI-00094,30596.82,2024-08-05,Cheque,1,1
PAG-0000132,PAR-000095,CLI-00095,34950.41,2025-10-21,Cheque,1,2
PAG-0000133,PAR-000095,CLI-00095,35064.45,2025-10-28,Transferencia,2,2
PAG-0000134,PAR-000096,CLI-00096,15922.17,2026-04-09,Cheque,1,3
PAG-0000135,PAR-000096,CLI-00096,15952.04,2026-04-16,Cheque,2,3
PAG-0000136,PAR-000096,CLI-00096,15973.5,2026-04-23,Débito automático,3,3
PAG-0000137,PAR-000097,CLI-00097,9537.22,2025-07-02,Cheque,1,1
PAG-0000138,PAR-000098,CLI-00098,26154.56,2024-02-17,Transferencia,1,1
PAG-0000139,PAR-000099,CLI-00099,8637.64,2024-01-11,Cheque,1,2
PAG-0000140,PAR-000099,CLI-00099,8540.84,2024-01-18,Cheque,2,2
PAG-0000141,PAR-000100,CLI-00100,25052.42,2025-06-21,Débito automático,1,1
PAG-0000142,PAR-000101,CLI-00101,23109.94,2026-04-04,Cheque,1,2
PAG-0000143,PAR-000101,CLI-00101,25140.53,2026-04-11,Transferencia,2,2
PAG-0000144,PAR-000102,CLI-00102,27273.58,2024-08-01,Transferencia,1,1
PAG-0000145,PAR-000103,CLI-00103,3747.62,2026-04-26,Débito automático,1,1
PAG-0000146,PAR-000104,CLI-04403,18599.92,2025-09-03,Débito automático,1,2
PAG-0000147,PAR-000104,CLI-04403,18448.5,2025-09-10,Cheque,2,2
PAG-0000148,PAR-000105,CLI-00105,62573.05,2024-03-18,Transferencia,1,1
PAG-0000149,PAR-000106,CLI-00106,5998.63,2024-01-31,Transferencia,1,2
PAG-0000150,PAR-000106,CLI-00106,5938.28,2024-02-07,Cheque,2,2
PAG-0000151,PAR-000107,CLI-00107,3135.37,2025-04-17,Cheque,1,1
PAG-0000152,PAR-000108,CLI-00108,51573.26,2025-12-18,Débito automático,1,1
PAG-0000153,PAR-000109,CLI-00109,1439.79,2025-02-01,Cheque,1,2
PAG-0000154,PAR-000109,CLI-00109,1414.65,2025-02-08,Débito automático,2,2
PAG-0000155,PAR-000110,CLI-00110,20467.8,2026-02-01,Cheque,1,1
PAG-0000156,PAR-000111,CLI-00111,10868.15,2026-02-15,Débito automático,1,3
PAG-0000157,PAR-000111,CLI-00111,11510.91,2026-02-22,Transferencia,2,3
PAG-0000158,PAR-000111,CLI-00111,11525.79,2026-03-01,Cheque,3,3
PAG-0000159,PAR-000112,CLI-00112,47289.41,2025-02-14,Débito automático,1,1
PAG-0000160,PAR-000113,CLI-00113,81215.26,2024-11-05,Débito automático,1,1
PAG-0000161,PAR-000114,CLI-00114,23085.01,2025-03-13,Débito automático,1,1
PAG-0000162,PAR-000115,CLI-00115,34906.95,2025-09-17,Transferencia,1,1
PAG-0000163,PAR-000116,CLI-00116,44578.18,2025-07-28,Cheque,1,1
PAG-0000164,PAR-000117,CLI-00117,38411.82,2023-08-29,Cheque,1,1
PAG-0000165,PAR-000118,CLI-00118,32213.66,2023-09-02,Cheque,1,1
PAG-0000166,PAR-000119,CLI-00119,23548.9,2024-05-25,Transferencia,1,1
PAG-0000167,PAR-000120,CLI-00120,11649.71,2025-08-08,Cheque,1,2
PAG-0000168,PAR-000120,CLI-00120,12416.28,2025-08-15,Transferencia,2,2
PAG-0000169,PAR-000121,CLI-00121,50048.5,2024-05-05,Débito automático,1,1
PAG-0000170,PAR-000122,CLI-00122,6136.2,2025-11-26,Débito automático,1,1
PAG-0000171,PAR-000123,CLI-06578,21985.66,2025-01-22,Transferencia,1,1
PAG-0000172,PAR-000124,CLI-00124,76820.19,2025-08-26,Transferencia,1,1
PAG-0000173,PAR-000125,CLI-00125,3016.58,2024-12-25,Débito automático,1,2
PAG-0000174,PAR-000125,CLI-00125,3199.62,2025-01-01,Transferencia,2,2
PAG-0000175,PAR-000126,CLI-01489,48592.76,2025-08-29,Débito automático,1,1
PAG-0000176,PAR-000127,CLI-00127,3587.42,2024-09-11,Transferencia,1,3
PAG-0000177,PAR-000127,CLI-00127,3347.31,2024-09-18,Débito automático,2,3
PAG-0000178,PAR-000127,CLI-00127,3534.71,2024-09-25,Transferencia,3,3
PAG-0000179,PAR-000128,CLI-00128,39657.32,2024-01-07,Transferencia,1,1
PAG-0000180,PAR-000129,CLI-08218,28645.39,2025-06-02,Cheque,1,1
PAG-0000181,PAR-000130,CLI-00130,221.34,2025-08-09,Transferencia,1,1
PAG-0000182,PAR-000131,CLI-00131,15250.85,2025-04-03,Débito automático,1,2
PAG-0000183,PAR-000131,CLI-00131,15187.26,2025-04-10,Transferencia,2,2
PAG-0000184,PAR-000132,CLI-00132,10276.42,2025-03-14,Transferencia,1,1
PAG-0000185,PAR-000133,CLI-00133,14893.63,2025-02-04,Cheque,1,1
PAG-0000186,PAR-000134,CLI-00134,58688.87,2023-09-27,Cheque,1,1
PAG-0000187,PAR-000135,CLI-00135,55312.99,2025-03-31,Débito automático,1,1
PAG-0000188,PAR-000136,CLI-02762,42301.31,2026-01-18,Transferencia,1,2
PAG-0000189,PAR-000136,CLI-02762,39757.21,2026-01-25,Cheque,2,2
PAG-0000190,PAR-000137,CLI-00137,3921.05,2026-01-20,Transferencia,1,1
PAG-0000191,PAR-000138,CLI-00138,29242.25,2026-03-14,Débito automático,1,2
PAG-0000192,PAR-000138,CLI-00138,28053.61,2026-03-21,Transferencia,2,2
PAG-0000193,PAR-000139,CLI-00139,22258.05,2025-05-06,Débito automático,1,1
PAG-0000194,PAR-000140,CLI-00140,34453.39,2024-11-08,Cheque,1,1
PAG-0000195,PAR-000141,CLI-00141,58483.66,2025-12-23,Cheque,1,1
PAG-0000196,PAR-000142,CLI-00142,16713.73,2025-10-01,Transferencia,1,2
PAG-0000197,PAR-000142,CLI-00142,17589.5,2025-10-08,Débito automático,2,2
PAG-0000198,PAR-000143,CLI-00143,79117.22,2024-01-22,Débito automático,1,1
PAG-0000199,PAR-000144,CLI-00144,28656.46,2024-01-29,Transferencia,1,2
PAG-0000200,PAR-000144,CLI-00144,28187.72,2024-02-05,Cheque,2,2
PAG-0000201,PAR-000145,CLI-02401,43542.09,2023-11-28,Cheque,1,1
PAG-0000202,PAR-000146,CLI-00146,20176.86,2023-08-30,Débito automático,1,1
PAG-0000203,PAR-000147,CLI-07135,11120.55,2025-12-17,Cheque,1,2
PAG-0000204,PAR-000147,CLI-07135,11884.82,2025-12-24,Transferencia,2,2
PAG-0000205,PAR-000148,CLI-00836,14904.05,2024-07-20,Débito automático,1,2
PAG-0000206,PAR-000148,CLI-00836,14831.44,2024-07-27,Débito automático,2,2
PAG-0000207,PAR-000149,CLI-00149,7851.16,2025-07-13,Transferencia,1,1
PAG-0000208,PAR-000150,CLI-00150,18601.06,2026-03-06,Transferencia,1,2
PAG-0000209,PAR-000150,CLI-00150,17540.0,2026-03-13,Débito automático,2,2
PAG-0000210,PAR-000151,CLI-00151,12554.06,2023-12-24,Débito automático,1,2
PAG-0000211,PAR-000151,CLI-00151,11815.19,2023-12-31,Transferencia,2,2
PAG-0000212,PAR-000152,CLI-01835,14387.19,2024-01-05,Débito automático,1,1
PAG-0000213,PAR-000153,CLI-00153,54899.28,2025-08-27,Cheque,1,1
PAG-0000214,PAR-000154,CLI-00154,615.76,2026-03-28,Débito automático,1,1
PAG-0000215,PAR-000155,CLI-00155,13531.44,2024-12-06,Débito automático,1,2
PAG-0000216,PAR-000155,CLI-00155,13644.97,2024-12-13,Débito automático,2,2
PAG-0000217,PAR-000156,CLI-00156,7019.21,2025-04-21,Débito automático,1,3
PAG-0000218,PAR-000156,CLI-00156,6991.02,2025-04-28,Débito automático,2,3
PAG-0000219,PAR-000156,CLI-00156,6787.23,2025-05-05,Débito automático,3,3
PAG-0000220,PAR-000157,CLI-00157,4955.78,2024-03-24,Débito automático,1,1
PAG-0000221,PAR-000158,CLI-00158,32516.59,2025-04-07,Transferencia,1,1
PAG-0000222,PAR-000159,CLI-00159,23965.46,2024-11-11,Débito automático,1,2
PAG-0000223,PAR-000159,CLI-00159,23433.42,2024-11-18,Débito automático,2,2
PAG-0000224,PAR-000160,CLI-00160,5157.12,2025-03-23,Cheque,1,2
PAG-0000225,PAR-000160,CLI-00160,4987.82,2025-03-30,Transferencia,2,2
PAG-0000226,PAR-000161,CLI-00161,37582.77,2026-05-19,Transferencia,1,1
PAG-0000227,PAR-000162,CLI-00162,12694.95,2025-10-24,Cheque,1,3
PAG-0000228,PAR-000162,CLI-00162,11618.04,2025-10-31,Cheque,2,3
PAG-0000229,PAR-000162,CLI-00162,11644.72,2025-11-07,Débito automático,3,3
PAG-0000230,PAR-000163,CLI-00163,43718.09,2025-03-28,Cheque,1,1
PAG-0000231,PAR-000164,CLI-00164,38809.42,2025-10-26,Débito automático,1,1
PAG-0000232,PAR-000165,CLI-09278,35070.37,2025-04-27,Cheque,1,1
PAG-0000233,PAR-000166,CLI-00166,16342.92,2025-06-08,Débito automático,1,3
PAG-0000234,PAR-000166,CLI-00166,15999.97,2025-06-15,Débito automático,2,3
PAG-0000235,PAR-000166,CLI-00166,15943.62,2025-06-22,Transferencia,3,3
PAG-0000236,PAR-000167,CLI-00167,37584.16,2023-08-29,Transferencia,1,1
PAG-0000237,PAR-000168,CLI-00168,13470.65,2024-12-08,Cheque,1,2
PAG-0000238,PAR-000168,CLI-00168,13517.12,2024-12-15,Cheque,2,2
PAG-0000239,PAR-000169,CLI-00169,17609.71,2026-04-17,Transferencia,1,1
PAG-0000240,PAR-000170,CLI-00170,11049.97,2025-08-04,Transferencia,1,2
PAG-0000241,PAR-000170,CLI-00170,10363.35,2025-08-11,Débito automático,2,2
PAG-0000242,PAR-000171,CLI-00171,24995.9,2024-12-10,Débito automático,1,2
PAG-0000243,PAR-000171,CLI-00171,24212.31,2024-12-17,Cheque,2,2
PAG-0000244,PAR-000172,CLI-00172,24403.16,2023-12-20,Cheque,1,1
PAG-0000245,PAR-000173,CLI-00173,1518.52,2025-06-03,Cheque,1,1
PAG-0000246,PAR-000174,CLI-08360,22839.55,2026-01-22,Transferencia,1,1
PAG-0000247,PAR-000175,CLI-00175,53936.42,2024-08-10,Transferencia,1,1
PAG-0000248,PAR-000176,CLI-06353,5479.25,2024-06-01,Cheque,1,1
PAG-0000249,PAR-000177,CLI-00177,19933.0,2026-06-21,Débito automático,1,1
PAG-0000250,PAR-000178,CLI-00178,7202.16,2026-02-05,Débito automático,1,2
PAG-0000251,PAR-000178,CLI-00178,7714.15,2026-02-12,Débito automático,2,2
PAG-0000252,PAR-000179,CLI-00179,38632.88,2026-02-28,Débito automático,1,1
PAG-0000253,PAR-000180,CLI-02338,52038.93,2025-01-13,Cheque,1,1
PAG-0000254,PAR-000181,CLI-00181,12106.48,2025-06-06,Débito automático,1,3
PAG-0000255,PAR-000181,CLI-00181,13017.2,2025-06-13,Cheque,2,3
PAG-0000256,PAR-000181,CLI-00181,12809.6,2025-06-20,Débito automático,3,3
PAG-0000257,PAR-000182,CLI-00182,107445.6,2026-03-11,Cheque,1,1
PAG-0000258,PAR-000183,CLI-00183,36667.01,2024-03-19,Débito automático,1,1
PAG-0000259,PAR-000184,CLI-00184,13616.68,2024-07-18,Débito automático,1,2
PAG-0000260,PAR-000184,CLI-00184,13193.26,2024-07-25,Cheque,2,2
PAG-0000261,PAR-000185,CLI-00185,66233.64,2026-02-09,Cheque,1,1
PAG-0000262,PAR-000186,CLI-00186,52371.07,2025-07-18,Transferencia,1,1
PAG-0000263,PAR-000187,CLI-00187,51121.13,2024-04-19,Débito automático,1,1
PAG-0000264,PAR-000188,CLI-00188,49078.11,2024-11-15,Cheque,1,1
PAG-0000265,PAR-000189,CLI-00189,18619.32,2026-05-04,Transferencia,1,1
PAG-0000266,PAR-000190,CLI-00190,20230.1,2026-02-15,Débito automático,1,1
PAG-0000267,PAR-000191,CLI-00191,38459.24,2025-07-07,Débito automático,1,1
PAG-0000268,PAR-000192,CLI-00192,45134.59,2026-01-25,Transferencia,1,1
PAG-0000269,PAR-000193,CLI-00193,14763.7,2024-03-01,Débito automático,1,2
PAG-0000270,PAR-000193,CLI-00193,14494.53,2024-03-08,Cheque,2,2
PAG-0000271,PAR-000194,CLI-00194,13040.16,2025-11-16,Débito automático,1,2
PAG-0000272,PAR-000194,CLI-00194,12329.6,2025-11-23,Débito automático,2,2
PAG-0000273,PAR-000195,CLI-00195,7291.92,2025-11-13,Transferencia,1,3
PAG-0000274,PAR-000195,CLI-00195,6776.89,2025-11-20,Débito automático,2,3
PAG-0000275,PAR-000195,CLI-00195,7257.25,2025-11-27,Transferencia,3,3
PAG-0000276,PAR-000196,CLI-00196,36085.0,2025-08-07,Débito automático,1,1
PAG-0000277,PAR-000197,CLI-00197,177790.49,2025-07-30,Transferencia,1,1
PAG-0000278,PAR-000198,CLI-00198,4043.98,2026-03-25,Cheque,1,1
PAG-0000279,PAR-000199,CLI-00199,80559.21,2025-07-11,Débito automático,1,1
PAG-0000280,PAR-000200,CLI-00200,27899.27,2025-03-31,Transferencia,1,1
PAG-0000281,PAR-000201,CLI-00201,71537.85,2023-12-03,Débito automático,1,1
PAG-0000282,PAR-000202,CLI-00202,40053.05,2026-04-11,Cheque,1,1
PAG-0000283,PAR-000203,CLI-00203,32591.69,2026-01-20,Transferencia,1,1
PAG-0000284,PAR-000204,CLI-00204,28850.21,2024-09-30,Débito automático,1,3
PAG-0000285,PAR-000204,CLI-00204,31425.13,2024-10-07,Cheque,2,3
PAG-0000286,PAR-000204,CLI-00204,31185.3,2024-10-14,Transferencia,3,3
PAG-0000287,PAR-000205,CLI-00205,39125.29,2025-09-04,Transferencia,1,1
PAG-0000288,PAR-000206,CLI-00206,99750.72,2025-03-28,Débito automático,1,1
PAG-0000289,PAR-000207,CLI-08406,8490.13,2025-01-16,Transferencia,1,2
PAG-0000290,PAR-000207,CLI-08406,8568.4,2025-01-23,Cheque,2,2
PAG-0000291,PAR-000208,CLI-00208,67105.53,2025-06-22,Débito automático,1,1
PAG-0000292,PAR-000209,CLI-00209,53549.43,2025-08-08,Transferencia,1,1
PAG-0000293,PAR-000210,CLI-00210,7719.16,2025-03-31,Cheque,1,1
PAG-0000294,PAR-000211,CLI-00211,40135.48,2025-07-23,Débito automático,1,1
PAG-0000295,PAR-000212,CLI-00212,10300.38,2024-03-31,Cheque,1,2
PAG-0000296,PAR-000212,CLI-00212,10505.46,2024-04-07,Cheque,2,2
PAG-0000297,PAR-000213,CLI-00213,30683.83,2026-01-31,Cheque,1,1
PAG-0000298,PAR-000214,CLI-00214,32031.12,2026-03-28,Cheque,1,1
PAG-0000299,PAR-000215,CLI-09071,24724.46,2025-11-17,Cheque,1,1
PAG-0000300,PAR-000216,CLI-00216,45940.72,2026-01-15,Cheque,1,1
PAG-0000301,PAR-000217,CLI-00217,24712.9,2024-10-28,Débito automático,1,2
PAG-0000302,PAR-000217,CLI-00217,24594.86,2024-11-04,Cheque,2,2
PAG-0000303,PAR-000218,CLI-00218,31696.37,2026-04-23,Débito automático,1,1
PAG-0000304,PAR-000219,CLI-08972,24753.75,2025-07-13,Débito automático,1,2
PAG-0000305,PAR-000219,CLI-08972,26001.19,2025-07-20,Débito automático,2,2
PAG-0000306,PAR-000220,CLI-00220,8860.51,2024-11-25,Débito automático,1,3
PAG-0000307,PAR-000220,CLI-00220,8568.68,2024-12-02,Transferencia,2,3
PAG-0000308,PAR-000220,CLI-00220,8625.37,2024-12-09,Cheque,3,3
PAG-0000309,PAR-000221,CLI-00221,27715.25,2026-06-12,Cheque,1,1
PAG-0000310,PAR-000222,CLI-00222,27357.3,2026-05-08,Cheque,1,1
PAG-0000311,PAR-000223,CLI-00223,42137.08,2025-10-04,Débito automático,1,1
PAG-0000312,PAR-000224,CLI-00224,13006.58,2024-01-22,Cheque,1,2
PAG-0000313,PAR-000224,CLI-00224,13909.51,2024-01-29,Cheque,2,2
PAG-0000314,PAR-000225,CLI-00225,38025.43,2024-08-21,Débito automático,1,1
PAG-0000315,PAR-000226,CLI-00226,32252.36,2025-11-26,Transferencia,1,1
PAG-0000316,PAR-000227,CLI-00227,52380.71,2026-05-25,Cheque,1,1
PAG-0000317,PAR-000228,CLI-09815,10299.93,2025-04-22,Débito automático,1,1
PAG-0000318,PAR-000229,CLI-00229,32060.41,2025-06-17,Transferencia,1,1
