id_indicador,id_parte,tipo_alerta,score_fraude,descripcion,fecha_deteccion,revisado,confirmado_fraude
FRD-000038,PAR-000155,Siniestro en póliza reciente (< 3 meses),64,Alerta automática: Siniestro en póliza reciente (< 3 meses),2024-11-26,False,False
FRD-000039,PAR-000165,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2025-01-25,True,False
FRD-000040,PAR-000174,Denunciante ≠ receptor de pago,92,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,True,False
FRD-000041,PAR-000176,Denunciante ≠ receptor de pago,86,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,True,False
FRD-000042,PAR-000180,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000043,PAR-000207,Denunciante ≠ receptor de pago,74,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,True,False
FRD-000044,PAR-000215,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2025-09-22,False,False
FRD-000045,PAR-000219,Denunciante ≠ receptor de pago,90,Alerta automática: Denunciante ≠ receptor de pago,2025-04-25,False,False
FRD-000046,PAR-000222,Parte reportado justo antes del vencimiento,54,Alerta automática: Parte reportado justo antes del vencimiento,2026-03-21,False,True
FRD-000047,PAR-000228,Denunciante ≠ receptor de pago,93,Alerta automática: Denunciante ≠ receptor de pago,2025-01-25,False,False
FRD-000048,PAR-000244,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,False,False
FRD-000049,PAR-000247,Denunciante ≠ receptor de pago,93,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,False
FRD-000050,PAR-000247,Denunciante ≠ receptor de pago,58,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,False
FRD-000051,PAR-000251,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,False,True
FRD-000052,PAR-000262,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000053,PAR-000265,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000054,PAR-000266,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2025-02-24,False,False
FRD-000055,PAR-000268,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2024-07-29,False,False
FRD-000056,PAR-000270,Siniestro en póliza reciente (< 3 meses),70,Alerta automática: Siniestro en póliza reciente (< 3 meses),2024-08-28,False,False
FRD-000057,PAR-000271,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2025-08-23,False,False
FRD-000058,PAR-000272,Denunciante ≠ receptor de pago,63,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,True,False
FRD-000059,PAR-000275,Denunciante ≠ receptor de pago,51,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,True,False
FRD-000060,PAR-000276,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2025-01-25,True,False
FRD-000061,PAR-000282,Denunciante ≠ receptor de pago,92,Alerta automática: Denunciante ≠ receptor de pago,2024-07-29,True,True
FRD-000062,PAR-000287,Siniestro en póliza reciente (< 3 meses),55,Alerta automática: Siniestro en póliza reciente (< 3 meses),2024-05-30,False,False
FRD-000063,PAR-000294,Múltiples partes en corto período,60,Alerta automática: Múltiples partes en corto período,2025-10-22,True,False
FRD-000064,PAR-000301,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2023-08-04,False,True
FRD-000065,PAR-000303,Denunciante ≠ receptor de pago,83,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000066,PAR-000310,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,False,False
FRD-000067,PAR-000313,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,False,False
FRD-000068,PAR-000316,Denunciante ≠ receptor de pago,65,Alerta automática: Denunciante ≠ receptor de pago,2025-09-22,True,False
FRD-000069,PAR-000323,Denunciante ≠ receptor de pago,93,Alerta automática: Denunciante ≠ receptor de pago,2025-02-24,True,False
FRD-000070,PAR-000325,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2023-08-04,True,False
FRD-000071,PAR-000331,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,False,False
FRD-000072,PAR-000350,Denunciante ≠ receptor de pago,72,Alerta automática: Denunciante ≠ receptor de pago,2023-06-05,False,True
FRD-000073,PAR-000354,Monto reclamado supera suma garantizada,78,Alerta automática: Monto reclamado supera suma garantizada,2024-11-26,True,False
FRD-000074,PAR-000359,Siniestro en póliza reciente (< 3 meses),53,Alerta automática: Siniestro en póliza reciente (< 3 meses),2026-02-19,False,False
FRD-000075,PAR-000361,Denunciante ≠ receptor de pago,84,Alerta automática: Denunciante ≠ receptor de pago,2024-07-29,False,False
FRD-000076,PAR-000369,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,False,False
FRD-000077,PAR-000376,Denunciante ≠ receptor de pago,61,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,False,False
FRD-000078,PAR-000382,Denunciante ≠ receptor de pago,82,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000079,PAR-000386,Denunciante ≠ receptor de pago,90,Alerta automática: Denunciante ≠ receptor de pago,2025-01-25,True,False
FRD-000080,PAR-000392,Múltiples partes en corto período,50,Alerta automática: Múltiples partes en corto período,2025-03-26,True,False
FRD-000081,PAR-000396,Denunciante ≠ receptor de pago,84,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,False,False
FRD-000082,PAR-000404,Denunciante ≠ receptor de pago,71,Alerta automática: Denunciante ≠ receptor de pago,2025-04-25,True,False
FRD-000083,PAR-000422,Monto reclamado supera suma garantizada,69,Alerta automática: Monto reclamado supera suma garantizada,2024-08-28,False,False
FRD-000084,PAR-000431,Parte reportado justo antes del vencimiento,51,Alerta automática: Parte reportado justo antes del vencimiento,2023-06-05,False,True
FRD-000085,PAR-000436,Denunciante ≠ receptor de pago,61,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,True,True
FRD-000086,PAR-000439,Denunciante ≠ receptor de pago,90,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,True,False
FRD-000087,PAR-000440,Denunciante ≠ receptor de pago,64,Alerta automática: Denunciante ≠ receptor de pago,2024-10-27,True,False
FRD-000088,PAR-000441,Denunciante ≠ receptor de pago,73,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,True,False
FRD-000089,PAR-000441,Monto reclamado supera suma garantizada,64,Alerta automática: Monto reclamado supera suma garantizada,2026-03-21,False,False
FRD-000090,PAR-000442,Denunciante ≠ receptor de pago,60,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,False,False
FRD-000091,PAR-000444,Parte reportado justo antes del vencimiento,78,Alerta automática: Parte reportado justo antes del vencimiento,2025-07-24,False,False
FRD-000092,PAR-000445,Perito con alta tasa de aprobación,52,Alerta automática: Perito con alta tasa de aprobación,2025-12-21,False,True
FRD-000093,PAR-000446,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2023-11-02,False,False
FRD-000094,PAR-000447,Denunciante ≠ receptor de pago,72,Alerta automática: Denunciante ≠ receptor de pago,2023-11-02,False,False
FRD-000095,PAR-000448,Denunciante ≠ receptor de pago,83,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,False,False
FRD-000096,PAR-000455,Denunciante ≠ receptor de pago,75,Alerta automática: Denunciante ≠ receptor de pago,2023-11-02,False,False
FRD-000097,PAR-000459,Monto reclamado supera suma garantizada,68,Alerta automática: Monto reclamado supera suma garantizada,2023-09-03,True,False
FRD-000098,PAR-000460,Denunciante ≠ receptor de pago,64,Alerta automática: Denunciante ≠ receptor de pago,2024-01-31,True,False
FRD-000099,PAR-000464,Perito con alta tasa de aprobación,73,Alerta automática: Perito con alta tasa de aprobación,2024-04-30,True,False
FRD-000100,PAR-000469,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,True,False
FRD-000101,PAR-000469,Parte reportado justo antes del vencimiento,71,Alerta automática: Parte reportado justo antes del vencimiento,2025-07-24,False,False
FRD-000102,PAR-000475,Monto reclamado supera suma garantizada,73,Alerta automática: Monto reclamado supera suma garantizada,2023-06-05,False,False
FRD-000103,PAR-000476,Parte reportado justo antes del vencimiento,64,Alerta automática: Parte reportado justo antes del vencimiento,2024-12-26,False,False
FRD-000104,PAR-000478,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2024-08-28,True,False
FRD-000105,PAR-000484,Denunciante ≠ receptor de pago,65,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000106,PAR-000489,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2025-01-25,False,False
FRD-000107,PAR-000494,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2025-04-25,False,False
FRD-000108,PAR-000498,Denunciante ≠ receptor de pago,71,Alerta automática: Denunciante ≠ receptor de pago,2024-08-28,False,False
FRD-000109,PAR-000505,Siniestro en póliza reciente (< 3 meses),62,Alerta automática: Siniestro en póliza reciente (< 3 meses),2023-08-04,False,False
FRD-000110,PAR-000515,Denunciante ≠ receptor de pago,82,Alerta automática: Denunciante ≠ receptor de pago,2024-08-28,True,False
FRD-000111,PAR-000516,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000112,PAR-000517,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,False,False
FRD-000113,PAR-000525,Denunciante ≠ receptor de pago,59,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,False,False
FRD-000114,PAR-000527,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2024-10-27,False,False
FRD-000115,PAR-000528,Denunciante ≠ receptor de pago,86,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,True,False
FRD-000116,PAR-000536,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,False,False
FRD-000117,PAR-000537,Denunciante ≠ receptor de pago,88,Alerta automática: Denunciante ≠ receptor de pago,2024-01-01,False,False
FRD-000118,PAR-000540,Siniestro en póliza reciente (< 3 meses),71,Alerta automática: Siniestro en póliza reciente (< 3 meses),2023-08-04,False,False
FRD-000119,PAR-000543,Denunciante ≠ receptor de pago,95,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000120,PAR-000553,Denunciante ≠ receptor de pago,92,Alerta automática: Denunciante ≠ receptor de pago,2024-01-01,False,False
FRD-000121,PAR-000568,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,False,False
FRD-000122,PAR-000576,Denunciante ≠ receptor de pago,63,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,False,False
FRD-000123,PAR-000578,Denunciante ≠ receptor de pago,84,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,True,False
FRD-000124,PAR-000592,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2023-10-03,False,True
FRD-000125,PAR-000597,Denunciante ≠ receptor de pago,87,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000126,PAR-000598,Denunciante ≠ receptor de pago,72,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,False,True
FRD-000127,PAR-000598,Parte reportado justo antes del vencimiento,62,Alerta automática: Parte reportado justo antes del vencimiento,2024-12-26,True,False
FRD-000128,PAR-000601,Denunciante ≠ receptor de pago,60,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,False,False
FRD-000129,PAR-000604,Denunciante ≠ receptor de pago,66,Alerta automática: Denunciante ≠ receptor de pago,2025-08-23,True,False
FRD-000130,PAR-000609,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,True,False
FRD-000131,PAR-000613,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2025-04-25,False,False
FRD-000132,PAR-000617,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2026-03-21,False,False
FRD-000133,PAR-000618,Siniestro en póliza reciente (< 3 meses),69,Alerta automática: Siniestro en póliza reciente (< 3 meses),2026-02-19,False,False
FRD-000134,PAR-000621,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2024-03-01,False,False
FRD-000135,PAR-000627,Siniestro en póliza reciente (< 3 meses),76,Alerta automática: Siniestro en póliza reciente (< 3 meses),2024-12-26,False,False
FRD-000136,PAR-000636,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,True,False
FRD-000137,PAR-000638,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,False,False
FRD-000138,PAR-000646,Múltiples partes en corto período,71,Alerta automática: Múltiples partes en corto período,2024-10-27,True,False
FRD-000139,PAR-000653,Denunciante ≠ receptor de pago,71,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,False,False
FRD-000140,PAR-000672,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2024-03-01,True,False
FRD-000141,PAR-000674,Monto reclamado supera suma garantizada,79,Alerta automática: Monto reclamado supera suma garantizada,2024-03-01,False,False
FRD-000142,PAR-000678,Denunciante ≠ receptor de pago,73,Alerta automática: Denunciante ≠ receptor de pago,2024-01-31,True,False
FRD-000143,PAR-000680,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,False,False
FRD-000144,PAR-000686,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000145,PAR-000688,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000146,PAR-000693,Monto reclamado supera suma garantizada,51,Alerta automática: Monto reclamado supera suma garantizada,2026-02-19,True,False
FRD-000147,PAR-000699,Receptor de pago sin relación con la póliza,50,Alerta automática: Receptor de pago sin relación con la póliza,2023-09-03,False,False
FRD-000148,PAR-000701,Denunciante ≠ receptor de pago,93,Alerta automática: Denunciante ≠ receptor de pago,2024-08-28,False,False
FRD-000149,PAR-000703,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,True,False
FRD-000150,PAR-000704,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,False,True
FRD-000151,PAR-000711,Denunciante ≠ receptor de pago,60,Alerta automática: Denunciante ≠ receptor de pago,2024-10-27,True,False
FRD-000152,PAR-000716,Denunciante ≠ receptor de pago,73,Alerta automática: Denunciante ≠ receptor de pago,2024-12-26,False,False
FRD-000153,PAR-000718,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2025-10-22,True,False
FRD-000154,PAR-000721,Denunciante ≠ receptor de pago,68,Alerta automática: Denunciante ≠ receptor de pago,2024-10-27,False,False
FRD-000155,PAR-000726,Denunciante ≠ receptor de pago,61,Alerta automática: Denunciante ≠ receptor de pago,2023-08-04,False,False
FRD-000156,PAR-000726,Siniestro en póliza reciente (< 3 meses),55,Alerta automática: Siniestro en póliza reciente (< 3 meses),2023-08-04,False,False
FRD-000157,PAR-000738,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2024-09-27,False,False
FRD-000158,PAR-000739,Múltiples partes en corto período,58,Alerta automática: Múltiples partes en corto período,2025-09-22,False,False
FRD-000159,PAR-000741,Denunciante ≠ receptor de pago,95,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,True,False
FRD-000160,PAR-000751,Denunciante ≠ receptor de pago,77,Alerta automática: Denunciante ≠ receptor de pago,2023-10-03,True,False
FRD-000161,PAR-000754,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2023-12-02,True,False
FRD-000162,PAR-000757,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,False
FRD-000163,PAR-000764,Denunciante ≠ receptor de pago,77,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000164,PAR-000773,Múltiples partes en corto período,57,Alerta automática: Múltiples partes en corto período,2024-04-30,False,False
FRD-000165,PAR-000774,Denunciante ≠ receptor de pago,65,Alerta automática: Denunciante ≠ receptor de pago,2024-05-30,False,False
FRD-000166,PAR-000779,Denunciante ≠ receptor de pago,80,Alerta automática: Denunciante ≠ receptor de pago,2023-10-03,True,False
FRD-000167,PAR-000780,Denunciante ≠ receptor de pago,80,Alerta automática: Denunciante ≠ receptor de pago,2024-01-01,False,False
FRD-000168,PAR-000780,Monto reclamado supera suma garantizada,52,Alerta automática: Monto reclamado supera suma garantizada,2024-01-01,False,False
FRD-000169,PAR-000786,Múltiples partes en corto período,59,Alerta automática: Múltiples partes en corto período,2025-06-24,False,False
FRD-000170,PAR-000798,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2024-03-01,False,False
FRD-000171,PAR-000802,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,True,False
FRD-000172,PAR-000806,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2025-09-22,False,False
FRD-000173,PAR-000809,Denunciante ≠ receptor de pago,89,Alerta automática: Denunciante ≠ receptor de pago,2024-10-27,False,False
FRD-000174,PAR-000811,Denunciante ≠ receptor de pago,76,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,False,True
FRD-000175,PAR-000813,Múltiples partes en corto período,78,Alerta automática: Múltiples partes en corto período,2025-03-26,True,False
FRD-000176,PAR-000821,Receptor de pago sin relación con la póliza,63,Alerta automática: Receptor de pago sin relación con la póliza,2024-06-29,False,False
FRD-000177,PAR-000823,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,False,False
FRD-000178,PAR-000826,Denunciante ≠ receptor de pago,94,Alerta automática: Denunciante ≠ receptor de pago,2025-08-23,False,False
FRD-000179,PAR-000839,Denunciante ≠ receptor de pago,79,Alerta automática: Denunciante ≠ receptor de pago,2025-07-24,True,False
FRD-000180,PAR-000843,Monto reclamado supera suma garantizada,65,Alerta automática: Monto reclamado supera suma garantizada,2024-03-01,True,True
FRD-000181,PAR-000844,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,False,False
FRD-000182,PAR-000849,Denunciante ≠ receptor de pago,75,Alerta automática: Denunciante ≠ receptor de pago,2023-12-02,False,False
FRD-000183,PAR-000851,Siniestro en póliza reciente (< 3 meses),56,Alerta automática: Siniestro en póliza reciente (< 3 meses),2024-01-01,True,False
FRD-000184,PAR-000852,Denunciante ≠ receptor de pago,51,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,True,False
FRD-000185,PAR-000853,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2024-06-29,False,False
FRD-000186,PAR-000854,Denunciante ≠ receptor de pago,80,Alerta automática: Denunciante ≠ receptor de pago,2024-04-30,True,False
FRD-000187,PAR-000863,Denunciante ≠ receptor de pago,87,Alerta automática: Denunciante ≠ receptor de pago,2026-01-20,False,False
FRD-000188,PAR-000872,Denunciante ≠ receptor de pago,77,Alerta automática: Denunciante ≠ receptor de pago,2023-08-04,True,False
FRD-000189,PAR-000872,Múltiples partes en corto período,73,Alerta automática: Múltiples partes en corto período,2023-08-04,False,False
FRD-000190,PAR-000875,Denunciante ≠ receptor de pago,60,Alerta automática: Denunciante ≠ receptor de pago,2025-04-25,True,False
FRD-000191,PAR-000877,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2024-11-26,True,False
FRD-000192,PAR-000881,Denunciante ≠ receptor de pago,95,Alerta automática: Denunciante ≠ receptor de pago,2025-08-23,True,False
FRD-000193,PAR-000886,Denunciante ≠ receptor de pago,91,Alerta automática: Denunciante ≠ receptor de pago,2025-02-24,True,False
FRD-000194,PAR-000890,Denunciante ≠ receptor de pago,93,Alerta automática: Denunciante ≠ receptor de pago,2025-06-24,True,False
FRD-000195,PAR-000890,Múltiples partes en corto período,77,Alerta automática: Múltiples partes en corto período,2025-06-24,False,False
FRD-000196,PAR-000895,Denunciante ≠ receptor de pago,85,Alerta automática: Denunciante ≠ receptor de pago,2025-03-26,True,True
FRD-000197,PAR-000898,Denunciante ≠ receptor de pago,70,Alerta automática: Denunciante ≠ receptor de pago,2025-02-24,True,False
FRD-000198,PAR-000912,Denunciante ≠ receptor de pago,74,Alerta automática: Denunciante ≠ receptor de pago,2026-02-19,False,False
FRD-000199,PAR-000918,Denunciante ≠ receptor de pago,64,Alerta automática: Denunciante ≠ receptor de pago,2025-06-24,False,True
FRD-000200,PAR-000928,Múltiples partes en corto período,73,Alerta automática: Múltiples partes en corto período,2024-01-31,True,False
FRD-000201,PAR-000933,Siniestro en póliza reciente (< 3 meses),63,Alerta automática: Siniestro en póliza reciente (< 3 meses),2025-07-24,False,False
FRD-000202,PAR-000936,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2025-05-25,False,False
FRD-000203,PAR-000939,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2024-05-30,False,False
FRD-000204,PAR-000948,Denunciante ≠ receptor de pago,72,Alerta automática: Denunciante ≠ receptor de pago,2024-03-01,True,False
FRD-000205,PAR-000949,Denunciante ≠ receptor de pago,81,Alerta automática: Denunciante ≠ receptor de pago,2025-12-21,False,False
FRD-000206,PAR-000952,Monto reclamado supera suma garantizada,57,Alerta automática: Monto reclamado supera suma garantizada,2025-11-21,False,False
FRD-000207,PAR-000960,Denunciante ≠ receptor de pago,67,Alerta automática: Denunciante ≠ receptor de pago,2023-12-02,False,True
FRD-000208,PAR-000970,Denunciante ≠ receptor de pago,78,Alerta automática: Denunciante ≠ receptor de pago,2024-01-31,False,False
FRD-000209,PAR-000971,Denunciante ≠ receptor de pago,68,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,False,False
FRD-000210,PAR-000971,Denunciante ≠ receptor de pago,62,Alerta automática: Denunciante ≠ receptor de pago,2025-11-21,True,False
