id_poliza,id_cliente,id_agente,id_objeto_asegurado,id_asegurado,tipo_seguro,cobertura,tipo_poliza,canal_venta,fecha_alta,vigencia_desde,vigencia_hasta,prima_mensual,prima_total,estado,numero_polizas_cliente,meses_desde_inicio,customer_lifetime_value
POL-000016,CLI-00016,AGE-0065,OBJ-000016,CLI-00016,Automóvil,Básica,Corporate Auto,Sucursal,2011-01-17,2011-01-17,2012-01-17,6400.0,76800.0,Activa,2,50,7463.14
POL-000017,CLI-00017,AGE-0042,OBJ-000017,CLI-00017,Automóvil,Básica,Personal Auto,Call Center,2009-12-13,2009-12-13,2010-12-13,6700.0,80400.0,Activa,1,7,2566.87
POL-000018,CLI-00018,AGE-0011,OBJ-000018,CLI-00018,Automóvil,Básica,Personal Auto,Call Center,2019-04-24,2019-04-24,2020-04-23,10100.0,121200.0,Activa,1,59,3945.24
POL-000019,CLI-00019,AGE-0031,OBJ-000019,CLI-00019,Automóvil,Básica,Personal Auto,Sucursal,2011-02-27,2011-02-27,2012-02-27,7200.0,86400.0,Activa,7,1,5710.33
POL-000020,CLI-00020,AGE-0023,OBJ-000020,CLI-00020,Automóvil,Premium,Corporate Auto,Call Center,2011-01-14,2011-01-14,2012-01-14,10100.0,121200.0,Activa,3,21,8162.62
POL-000021,CLI-00021,AGE-0072,OBJ-000021,CLI-00021,Automóvil,Básica,Personal Auto,Sucursal,2011-02-19,2011-02-19,2012-02-19,7400.0,88800.0,Activa,1,21,2872.05
POL-000022,CLI-00022,AGE-0026,OBJ-000022,CLI-00022,Automóvil,Extendida,Personal Auto,Call Center,2011-01-21,2011-01-21,2012-01-21,7900.0,94800.0,Activa,1,49,3041.79
POL-000023,CLI-00023,AGE-0014,OBJ-000023,CLI-00023,Automóvil,Básica,Personal Auto,Agente,2011-01-26,2011-01-26,2012-01-26,7100.0,85200.0,Activa,2,3,24127.5
POL-000024,CLI-00024,AGE-0001,OBJ-000024,CLI-00024,Automóvil,Básica,Corporate Auto,Sucursal,2011-02-24,2011-02-24,2012-02-24,7300.0,87600.0,Activa,1,44,2450.19
POL-000025,CLI-00025,AGE-0045,OBJ-000025,CLI-00025,Automóvil,Básica,Corporate Auto,Sucursal,2018-06-11,2018-06-11,2019-06-11,6100.0,73200.0,Activa,1,91,2392.11
POL-000026,CLI-00026,AGE-0075,OBJ-000026,CLI-00026,Automóvil,Básica,Personal Auto,Call Center,2011-01-29,2011-01-29,2012-01-29,7200.0,86400.0,Baja,3,1,5802.07
POL-000027,CLI-00027,AGE-0012,OBJ-000027,CLI-00027,Automóvil,Premium,Personal Auto,Agente,2011-02-28,2011-02-28,2012-02-28,11100.0,133200.0,Activa,1,47,3946.37
POL-000028,CLI-00028,AGE-0080,OBJ-000028,CLI-00028,Automóvil,Extendida,Corporate Auto,Sucursal,2021-07-20,2021-07-20,2022-07-20,13900.0,166800.0,Activa,1,64,5346.92
POL-000029,CLI-00029,AGE-0041,OBJ-000029,CLI-00029,Automóvil,Premium,Personal Auto,Call Center,2023-08-01,2023-08-01,2024-07-31,11100.0,133200.0,Activa,2,54,12902.56
POL-000030,CLI-00030,AGE-0007,OBJ-000030,CLI-00030,Automóvil,Extendida,Personal Auto,Sucursal,2022-09-27,2022-09-27,2023-09-27,8000.0,96000.0,Baja,1,44,3235.36
POL-000031,CLI-00031,AGE-0068,OBJ-000031,CLI-00031,Automóvil,Básica,Personal Auto,Call Center,2011-02-28,2011-02-28,2012-02-28,6300.0,75600.0,Baja,1,6,2454.58
POL-000032,CLI-00032,AGE-0059,OBJ-000032,CLI-00032,Automóvil,Extendida,Corporate Auto,Agente,2011-01-22,2011-01-22,2012-01-22,23700.0,284400.0,Activa,6,14,18975.46
POL-000033,CLI-00033,AGE-0012,OBJ-000033,CLI-00033,Automóvil,Básica,Personal Auto,Call Center,2011-01-25,2011-01-25,2012-01-25,6500.0,78000.0,Activa,3,56,4715.32
POL-000034,CLI-00034,AGE-0006,OBJ-000034,CLI-00034,Automóvil,Básica,Corporate Auto,Agente,2011-01-18,2011-01-18,2012-01-18,6300.0,75600.0,Activa,6,17,5018.89
POL-000035,CLI-00035,AGE-0076,OBJ-000035,CLI-00035,Automóvil,Básica,Corporate Auto,Web,2011-02-13,2011-02-13,2012-02-13,6200.0,74400.0,Activa,8,42,4932.92
POL-000036,CLI-00036,AGE-0065,OBJ-000036,CLI-00036,Automóvil,Básica,Personal Auto,Sucursal,2011-01-15,2011-01-15,2012-01-15,7100.0,85200.0,Activa,6,40,5744.23
POL-000037,CLI-00037,AGE-0016,OBJ-000037,CLI-00037,Automóvil,Premium,Personal Auto,Agente,2009-07-27,2009-07-27,2010-07-27,11700.0,140400.0,Activa,2,62,13891.74
POL-000038,CLI-00038,AGE-0019,OBJ-000038,CLI-00038,Automóvil,Extendida,Personal Auto,Web,2009-09-13,2009-09-13,2010-09-13,9100.0,109200.0,Activa,8,86,7380.98
POL-000039,CLI-00039,AGE-0059,OBJ-000039,CLI-00039,Automóvil,Extendida,Personal Auto,Agente,2011-01-25,2011-01-25,2012-01-25,9000.0,108000.0,Activa,1,79,3090.03
POL-000040,CLI-00040,AGE-0050,OBJ-000040,CLI-00040,Automóvil,Básica,Personal Auto,Call Center,2013-10-11,2013-10-11,2014-10-11,6600.0,79200.0,Activa,1,15,2521.63
POL-000041,CLI-00041,AGE-0022,OBJ-000041,CLI-00041,Automóvil,Básica,Corporate Auto,Call Center,2011-01-18,2011-01-18,2012-01-18,7000.0,84000.0,Activa,1,1,2652.06
POL-000042,CLI-00042,AGE-0032,OBJ-000042,CLI-00042,Automóvil,Básica,Corporate Auto,Agente,2016-05-17,2016-05-17,2017-05-17,7100.0,85200.0,Activa,1,32,2771.05
POL-000043,CLI-00043,AGE-0048,OBJ-000043,CLI-00043,Automóvil,Extendida,Personal Auto,Agente,2011-01-28,2011-01-28,2012-01-28,9900.0,118800.0,Activa,1,28,3939.01
POL-000044,CLI-00044,AGE-0017,OBJ-000044,CLI-00044,Automóvil,Básica,Personal Auto,Agente,2008-11-05,2008-11-05,2009-11-05,10300.0,123600.0,Activa,2,16,12231.88
POL-000045,CLI-00045,AGE-0017,OBJ-000045,CLI-00045,Automóvil,Básica,Special Auto,Call Center,2011-02-23,2011-02-23,2012-02-23,6100.0,73200.0,Activa,1,56,2443.67
POL-000046,CLI-00046,AGE-0074,OBJ-000046,CLI-00046,Automóvil,Premium,Personal Auto,Sucursal,2011-01-25,2011-01-25,2012-01-25,17200.0,206400.0,Activa,3,4,12819.1
POL-000047,CLI-00047,AGE-0048,OBJ-000047,CLI-00047,Automóvil,Básica,Personal Auto,Call Center,2011-01-31,2011-01-31,2012-01-31,7300.0,87600.0,Baja,5,57,4468.51
POL-000048,CLI-00048,AGE-0025,OBJ-000048,CLI-00048,Automóvil,Básica,Personal Auto,Agente,2022-03-07,2022-03-07,2023-03-07,7100.0,85200.0,Activa,4,10,5514.34
POL-000049,CLI-00049,AGE-0077,OBJ-000049,CLI-00049,Automóvil,Extendida,Corporate Auto,Call Center,2020-03-01,2020-03-01,2021-03-01,9200.0,110400.0,Activa,1,77,3343.88
POL-000050,CLI-00050,AGE-0036,OBJ-000050,CLI-00050,Automóvil,Básica,Personal Auto,Sucursal,2011-01-18,2011-01-18,2012-01-18,6200.0,74400.0,Activa,1,56,2294.48
POL-000051,CLI-00051,AGE-0068,OBJ-000051,CLI-00051,Automóvil,Básica,Personal Auto,Agente,2011-01-17,2011-01-17,2012-01-17,10400.0,124800.0,Activa,2,28,36707.43
POL-000052,CLI-00052,AGE-0062,OBJ-000052,CLI-00052,Automóvil,Básica,Corporate Auto,Web,2022-01-30,2022-01-30,2023-01-30,10600.0,127200.0,Activa,2,95,33473.35
POL-000053,CLI-00053,AGE-0006,OBJ-000053,CLI-00053,Automóvil,Básica,Special Auto,Sucursal,2011-02-21,2011-02-21,2012-02-21,6900.0,82800.0,Activa,2,40,7983.43
POL-000054,CLI-00054,AGE-0009,OBJ-000054,CLI-00054,Automóvil,Básica,Personal Auto,Agente,2011-02-16,2011-02-16,2012-02-16,6400.0,76800.0,Activa,3,44,4854.75
POL-000055,CLI-00055,AGE-0031,OBJ-000055,CLI-00055,Automóvil,Premium,Personal Auto,Sucursal,2011-01-17,2011-01-17,2012-01-17,11300.0,135600.0,Activa,1,26,4294.0
POL-000056,CLI-00056,AGE-0024,OBJ-000056,CLI-00056,Automóvil,Extendida,Corporate Auto,Call Center,2009-12-04,2009-12-04,2010-12-04,9100.0,109200.0,Activa,3,53,7164.4
POL-000057,CLI-00057,AGE-0004,OBJ-000057,CLI-00057,Automóvil,Básica,Special Auto,Sucursal,2011-02-13,2011-02-13,2012-02-13,6400.0,76800.0,Baja,2,59,7619.52
POL-000058,CLI-00058,AGE-0027,OBJ-000058,CLI-00058,Automóvil,Básica,Personal Auto,Call Center,2011-02-23,2011-02-23,2012-02-23,10100.0,121200.0,Activa,1,12,3958.0
POL-000059,CLI-00059,AGE-0076,OBJ-000059,CLI-00059,Automóvil,Extendida,Personal Auto,Call Center,2011-01-28,2011-01-28,2012-01-28,12400.0,148800.0,Activa,1,47,4499.49
POL-000060,CLI-00060,AGE-0061,OBJ-000060,CLI-00060,Automóvil,Premium,Personal Auto,Agente,2011-02-28,2011-02-28,2012-02-28,10800.0,129600.0,Activa,1,98,4059.57
POL-000061,CLI-00061,AGE-0079,OBJ-000061,CLI-00061,Automóvil,Básica,Personal Auto,Agente,2019-06-07,2019-06-07,2020-06-06,6500.0,78000.0,Activa,3,36,4458.11
POL-000062,CLI-00062,AGE-0059,OBJ-000062,CLI-00062,Automóvil,Premium,Personal Auto,Call Center,2011-01-22,2011-01-22,2012-01-22,10500.0,126000.0,Activa,6,50,8110.33
POL-000063,CLI-00063,AGE-0009,OBJ-000063,CLI-00063,Automóvil,Extendida,Personal Auto,Agente,2011-01-15,2011-01-15,2012-01-15,9400.0,112800.0,Activa,1,53,3339.76
POL-000064,CLI-00064,AGE-0006,OBJ-000064,CLI-00064,Automóvil,Básica,Personal Auto,Agente,2011-01-27,2011-01-27,2012-01-27,10000.0,120000.0,Activa,2,86,24261.02
POL-000065,CLI-00065,AGE-0021,OBJ-000065,CLI-00065,Automóvil,Básica,Personal Auto,Sucursal,2011-01-23,2011-01-23,2012-01-23,6300.0,75600.0,Baja,2,28,6613.97
POL-000066,CLI-00066,AGE-0056,OBJ-000066,CLI-00066,Automóvil,Básica,Personal Auto,Web,2011-01-31,2011-01-31,2012-01-31,7300.0,87600.0,Activa,1,71,2930.69
POL-000067,CLI-00067,AGE-0002,OBJ-000067,CLI-00067,Automóvil,Básica,Corporate Auto,Agente,2011-01-26,2011-01-26,2012-01-26,11200.0,134400.0,Baja,3,60,8672.19
POL-000068,CLI-00068,AGE-0054,OBJ-000068,CLI-00068,Automóvil,Extendida,Personal Auto,Sucursal,2021-03-23,2021-03-23,2022-03-23,9700.0,116400.0,Activa,2,65,11638.67
POL-000069,CLI-00069,AGE-0014,OBJ-000069,CLI-00069,Automóvil,Extendida,Personal Auto,Call Center,2011-01-27,2011-01-27,2012-01-27,9500.0,114000.0,Activa,5,20,6846.15
POL-000070,CLI-00070,AGE-0057,OBJ-000070,CLI-00070,Automóvil,Premium,Personal Auto,Web,2013-06-21,2013-06-21,2014-06-21,10200.0,122400.0,Activa,2,0,11727.78
POL-000071,CLI-00071,AGE-0037,OBJ-000071,CLI-00071,Automóvil,Básica,Personal Auto,Agente,2011-02-24,2011-02-24,2012-02-24,11300.0,135600.0,Activa,2,12,22643.83
POL-000072,CLI-00072,AGE-0062,OBJ-000072,CLI-00072,Automóvil,Básica,Personal Auto,Web,2009-09-27,2009-09-27,2010-09-27,6500.0,78000.0,Activa,1,27,2614.47
POL-000073,CLI-00073,AGE-0003,OBJ-000073,CLI-00073,Automóvil,Básica,Personal Auto,Agente,2010-10-21,2010-10-21,2011-10-21,6400.0,76800.0,Activa,1,47,2451.75
POL-000074,CLI-00074,AGE-0030,OBJ-000074,CLI-00074,Automóvil,Básica,Personal Auto,Agente,2014-12-30,2014-12-30,2015-12-30,10400.0,124800.0,Activa,5,3,6781.27
POL-000075,CLI-00075,AGE-0007,OBJ-000075,CLI-00075,Automóvil,Básica,Personal Auto,Sucursal,2011-01-18,2011-01-18,2012-01-18,6500.0,78000.0,Activa,9,68,4974.8
POL-000076,CLI-00076,AGE-0018,OBJ-000076,CLI-00076,Automóvil,Básica,Personal Auto,Sucursal,2022-11-26,2022-11-26,2023-11-26,7300.0,87600.0,Activa,2,38,8591.6
POL-000077,CLI-00077,AGE-0021,OBJ-000077,CLI-00077,Automóvil,Básica,Personal Auto,Call Center,2012-05-01,2012-05-01,2013-05-01,7100.0,85200.0,Activa,6,48,5592.16
POL-000078,CLI-00078,AGE-0070,OBJ-000078,CLI-00078,Automóvil,Básica,Personal Auto,Agente,2011-02-15,2011-02-15,2012-02-15,6700.0,80400.0,Activa,2,33,8009.47
POL-000079,CLI-00079,AGE-0013,OBJ-000079,CLI-00079,Automóvil,Extendida,Personal Auto,Agente,2022-07-18,2022-07-18,2023-07-18,9900.0,118800.0,Activa,2,83,11318.09
POL-000080,CLI-00080,AGE-0028,OBJ-000080,CLI-00080,Automóvil,Básica,Personal Auto,Sucursal,2011-02-27,2011-02-27,2012-02-27,18600.0,223200.0,Activa,2,30,58166.55
POL-000081,CLI-00081,AGE-0073,OBJ-000081,CLI-00081,Automóvil,Extendida,Personal Auto,Sucursal,2011-01-26,2011-01-26,2012-01-26,7700.0,92400.0,Baja,2,26,8025.23
POL-000082,CLI-00082,AGE-0070,OBJ-000082,CLI-00082,Automóvil,Básica,Personal Auto,Call Center,2011-02-26,2011-02-26,2012-02-26,7400.0,88800.0,Activa,8,0,5780.18
POL-000083,CLI-00083,AGE-0063,OBJ-000083,CLI-00083,Automóvil,Básica,Personal Auto,Sucursal,2011-01-27,2011-01-27,2012-01-27,10200.0,122400.0,Activa,1,54,4118.54
POL-000084,CLI-00084,AGE-0022,OBJ-000084,CLI-00084,Automóvil,Básica,Personal Auto,Call Center,2011-01-16,2011-01-16,2012-01-16,6300.0,75600.0,Baja,1,15,2523.07
POL-000085,CLI-00085,AGE-0013,OBJ-000085,CLI-00085,Automóvil,Extendida,Personal Auto,Agente,2011-01-27,2011-01-27,2012-01-27,9000.0,108000.0,Baja,3,69,6554.22
POL-000086,CLI-00086,AGE-0068,OBJ-000086,CLI-00086,Automóvil,Básica,Personal Auto,Call Center,2011-02-28,2011-02-28,2012-02-28,6600.0,79200.0,Baja,2,32,7703.4
POL-000087,CLI-00087,AGE-0012,OBJ-000087,CLI-00087,Automóvil,Extendida,Personal Auto,Agente,2011-01-25,2011-01-25,2012-01-25,9600.0,115200.0,Baja,5,90,5926.73
POL-000088,CLI-00088,AGE-0036,OBJ-000088,CLI-00088,Automóvil,Básica,Corporate Auto,Web,2013-11-19,2013-11-19,2014-11-19,6900.0,82800.0,Activa,1,79,2683.47
POL-000089,CLI-00089,AGE-0077,OBJ-000089,CLI-00089,Automóvil,Básica,Personal Auto,Sucursal,2012-10-18,2012-10-18,2013-10-18,6700.0,80400.0,Baja,1,12,2695.18
POL-000090,CLI-00090,AGE-0053,OBJ-000090,CLI-00090,Automóvil,Extendida,Personal Auto,Sucursal,2011-02-19,2011-02-19,2012-02-19,7600.0,91200.0,Baja,4,60,6047.03
POL-000091,CLI-00091,AGE-0073,OBJ-000091,CLI-00091,Automóvil,Premium,Personal Auto,Sucursal,2011-01-27,2011-01-27,2012-01-27,11900.0,142800.0,Baja,2,81,13171.01
POL-000092,CLI-00092,AGE-0035,OBJ-000092,CLI-00092,Automóvil,Extendida,Corporate Auto,Call Center,2011-02-27,2011-02-27,2012-02-27,8800.0,105600.0,Activa,2,3,10656.88
POL-000093,CLI-00093,AGE-0062,OBJ-000093,CLI-00093,Automóvil,Básica,Corporate Auto,Agente,2011-01-17,2011-01-17,2012-01-17,6300.0,75600.0,Activa,1,84,2527.65
POL-000094,CLI-00094,AGE-0011,OBJ-000094,CLI-00094,Automóvil,Básica,Corporate Auto,Sucursal,2013-09-19,2013-09-19,2014-09-19,6700.0,80400.0,Activa,1,88,2672.1
POL-000095,CLI-00095,AGE-0037,OBJ-000095,CLI-00095,Automóvil,Extendida,Personal Auto,Agente,2011-01-24,2011-01-24,2012-01-24,7700.0,92400.0,Activa,9,10,5313.29
POL-000096,CLI-00096,AGE-0038,OBJ-000096,CLI-00096,Automóvil,Básica,Personal Auto,Sucursal,2011-02-24,2011-02-24,2012-02-24,7400.0,88800.0,Activa,2,26,20946.19
POL-000097,CLI-00097,AGE-0058,OBJ-000097,CLI-00097,Automóvil,Básica,Personal Auto,Sucursal,2011-02-15,2011-02-15,2012-02-15,10900.0,130800.0,Activa,9,18,8375.35
POL-000098,CLI-00098,AGE-0012,OBJ-000098,CLI-00098,Automóvil,Básica,Personal Auto,Agente,2011-02-16,2011-02-16,2012-02-16,6200.0,74400.0,Activa,8,11,4801.66
POL-000099,CLI-00099,AGE-0021,OBJ-000099,CLI-00099,Automóvil,Básica,Personal Auto,Web,2011-01-22,2011-01-22,2012-01-22,7400.0,88800.0,Activa,9,87,5745.94
POL-000100,CLI-00100,AGE-0050,OBJ-000100,CLI-00100,Automóvil,Extendida,Personal Auto,Agente,2011-02-25,2011-02-25,2012-02-25,7600.0,91200.0,Activa,7,60,6066.12
POL-000101,CLI-00101,AGE-0032,OBJ-000101,CLI-00101,Automóvil,Básica,Personal Auto,Agente,2013-03-07,2013-03-07,2014-03-07,10700.0,128400.0,Activa,3,65,8002.31
POL-000102,CLI-00102,AGE-0017,OBJ-000102,CLI-00102,Automóvil,Básica,Personal Auto,Sucursal,2011-01-31,2011-01-31,2012-01-31,7000.0,84000.0,Activa,1,10,2393.92
POL-000103,CLI-00103,AGE-0028,OBJ-000103,CLI-00103,Automóvil,Básica,Corporate Auto,Call Center,2009-06-25,2009-06-25,2010-06-25,6200.0,74400.0,Activa,3,85,4762.82
POL-000104,CLI-00104,AGE-0044,OBJ-000104,CLI-00104,Automóvil,Premium,Personal Auto,Sucursal,2011-02-16,2011-02-16,2012-02-16,10700.0,128400.0,Activa,1,18,4330.39
POL-000105,CLI-00105,AGE-0050,OBJ-000105,CLI-00105,Automóvil,Extendida,Personal Auto,Web,2016-08-22,2016-08-22,2017-08-22,13000.0,156000.0,Activa,4,88,9402.73
POL-000106,CLI-00106,AGE-0037,OBJ-000106,CLI-00106,Automóvil,Extendida,Personal Auto,Call Center,2011-01-19,2011-01-19,2012-01-19,8800.0,105600.0,Baja,9,93,6966.69
POL-000107,CLI-00107,AGE-0078,OBJ-000107,CLI-00107,Automóvil,Básica,Personal Auto,Sucursal,2015-12-26,2015-12-26,2016-12-25,6500.0,78000.0,Activa,2,34,7694.06
POL-000108,CLI-00108,AGE-0033,OBJ-000108,CLI-00108,Automóvil,Básica,Personal Auto,Agente,2011-09-10,2011-09-10,2012-09-09,11700.0,140400.0,Baja,3,89,8717.56
POL-000109,CLI-00109,AGE-0051,OBJ-000109,CLI-00109,Automóvil,Básica,Personal Auto,Agente,2011-01-27,2011-01-27,2012-01-27,7400.0,88800.0,Activa,9,32,5928.75
POL-000110,CLI-00110,AGE-0008,OBJ-000110,CLI-00110,Automóvil,Básica,Corporate Auto,Agente,2011-02-14,2011-02-14,2012-02-14,6200.0,74400.0,Baja,1,86,2452.98
POL-000111,CLI-00111,AGE-0030,OBJ-000111,CLI-00111,Automóvil,Extendida,Personal Auto,Agente,2011-02-27,2011-02-27,2012-02-27,8500.0,102000.0,Activa,7,18,6701.57
POL-000112,CLI-00112,AGE-0073,OBJ-000112,CLI-00112,Automóvil,Extendida,Corporate Auto,Web,2011-10-24,2011-10-24,2012-10-23,9800.0,117600.0,Activa,8,2,7556.24
POL-000113,CLI-00113,AGE-0027,OBJ-000113,CLI-00113,Automóvil,Básica,Personal Auto,Sucursal,2011-02-26,2011-02-26,2012-02-26,10900.0,130800.0,Activa,7,54,8492.7
POL-000114,CLI-00114,AGE-0001,OBJ-000114,CLI-00114,Automóvil,Básica,Personal Auto,Agente,2011-02-20,2011-02-20,2012-02-20,6600.0,79200.0,Activa,2,32,7713.49
POL-000115,CLI-00115,AGE-0069,OBJ-000115,CLI-00115,Automóvil,Básica,Personal Auto,Sucursal,2021-05-02,2021-05-02,2022-05-02,6700.0,80400.0,Activa,2,54,24084.54
POL-000116,CLI-00116,AGE-0069,OBJ-000116,CLI-00116,Automóvil,Básica,Corporate Auto,Agente,2011-02-15,2011-02-15,2012-02-15,10200.0,122400.0,Activa,3,70,7290.07
POL-000117,CLI-00117,AGE-0076,OBJ-000117,CLI-00117,Automóvil,Extendida,Personal Auto,Agente,2011-02-18,2011-02-18,2012-02-18,13300.0,159600.0,Activa,1,90,4772.94
POL-000118,CLI-00118,AGE-0015,OBJ-000118,CLI-00118,Automóvil,Extendida,Personal Auto,Sucursal,2011-01-21,2011-01-21,2012-01-21,8600.0,103200.0,Baja,9,77,6806.49
POL-000119,CLI-00119,AGE-0063,OBJ-000119,CLI-00119,Automóvil,Básica,Personal Auto,Agente,2011-01-15,2011-01-15,2012-01-15,6200.0,74400.0,Activa,1,10,2469.78
POL-000120,CLI-00120,AGE-0029,OBJ-000120,CLI-00120,Automóvil,Extendida,Corporate Auto,Call Center,2013-11-29,2013-11-29,2014-11-29,7800.0,93600.0,Activa,1,90,3103.92
POL-000121,CLI-00121,AGE-0068,OBJ-000121,CLI-00121,Automóvil,Extendida,Personal Auto,Web,2011-02-24,2011-02-24,2012-02-24,8300.0,99600.0,Activa,1,89,2981.88
POL-000122,CLI-00122,AGE-0016,OBJ-000122,CLI-00122,Automóvil,Básica,Personal Auto,Call Center,2019-06-08,2019-06-08,2020-06-07,11200.0,134400.0,Activa,9,3,8902.74
POL-000123,CLI-00123,AGE-0052,OBJ-000123,CLI-00123,Automóvil,Básica,Personal Auto,Sucursal,2011-01-28,2011-01-28,2012-01-28,6800.0,81600.0,Activa,7,77,5499.45
POL-000124,CLI-00124,AGE-0024,OBJ-000124,CLI-00124,Automóvil,Básica,Personal Auto,Web,2021-02-15,2021-02-15,2022-02-15,19200.0,230400.0,Activa,3,77,15023.6
POL-000125,CLI-00125,AGE-0023,OBJ-000125,CLI-00125,Automóvil,Básica,Personal Auto,Agente,2011-02-16,2011-02-16,2012-02-16,6300.0,75600.0,Activa,1,11,2509.11
POL-000126,CLI-00126,AGE-0007,OBJ-000126,CLI-00126,Automóvil,Premium,Personal Auto,Call Center,2019-01-02,2019-01-02,2020-01-02,11300.0,135600.0,Activa,2,27,31221.75
POL-000127,CLI-00127,AGE-0069,OBJ-000127,CLI-00127,Automóvil,Extendida,Personal Auto,Sucursal,2018-06-09,2018-06-09,2019-06-09,7800.0,93600.0,Activa,1,26,3133.5
POL-000128,CLI-00128,AGE-0011,OBJ-000128,CLI-00128,Automóvil,Extendida,Special Auto,Sucursal,2011-01-13,2011-01-13,2012-01-13,9700.0,116400.0,Baja,1,37,3837.45
POL-000129,CLI-00129,AGE-0037,OBJ-000129,CLI-00129,Automóvil,Básica,Personal Auto,Web,2019-11-28,2019-11-28,2020-11-27,6600.0,79200.0,Activa,2,43,11790.5
POL-000130,CLI-00130,AGE-0063,OBJ-000130,CLI-00130,Automóvil,Básica,Personal Auto,Agente,2011-02-17,2011-02-17,2012-02-17,6900.0,82800.0,Activa,2,12,7838.07
POL-000131,CLI-00131,AGE-0078,OBJ-000131,CLI-00131,Automóvil,Básica,Personal Auto,Agente,2011-01-21,2011-01-21,2012-01-21,10900.0,130800.0,Activa,1,82,4305.81
POL-000132,CLI-00132,AGE-0030,OBJ-000132,CLI-00132,Automóvil,Básica,Special Auto,Sucursal,2011-01-26,2011-01-26,2012-01-26,7400.0,88800.0,Activa,8,8,5973.98
POL-000133,CLI-00133,AGE-0063,OBJ-000133,CLI-00133,Automóvil,Básica,Personal Auto,Call Center,2011-01-31,2011-01-31,2012-01-31,7200.0,86400.0,Activa,4,35,5670.44
POL-000134,CLI-00134,AGE-0024,OBJ-000134,CLI-00134,Automóvil,Premium,Personal Auto,Agente,2008-09-11,2008-09-11,2009-09-11,11800.0,141600.0,Activa,1,99,4731.75
POL-000135,CLI-00135,AGE-0046,OBJ-000135,CLI-00135,Automóvil,Básica,Corporate Auto,Web,2012-09-17,2012-09-17,2013-09-17,7400.0,88800.0,Baja,2,91,8026.38
